RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
5923,3,2020,5530460,5.900000095367432,60,NO,NO
5663,3,2020,6949137,5.050000190734863,80,NO,NO
6163,2,2020,9269187,5.03000020980835,90,NO,NO
5566,5,2020,12455986,5.380000114440918,60,NO,NO
5568,2,2020,13415981,5.849999904632568,40,NO,NO
5567,2,2020,16100539,5.199999809265137,70,NO,NO
5655,3,2020,16767476,5.230000019073486,70,NO,NO
5570,2,2020,17446989,5.630000114440918,60,NO,NO
5570,2,2019,1084576,5.800000190734863,30,NO,SI
5655,3,2019,2392997,5.349999904632568,50,NO,NO
5729,3,2019,3671063,4.78000020980835,100,NO,NO
5566,5,2019,3977120,5,100,NO,NO
5663,3,2019,4291141,5.099999904632568,80,NO,NO
5568,2,2019,6718896,5.980000019073486,20,NO,SI
5663,3,2019,6975724,4.980000019073486,90,NO,NO
5663,3,2019,8204488,5.329999923706055,50,NO,NO
5566,5,2019,14500534,5.400000095367432,60,NO,NO
5663,3,2020,15832397,4.980000019073486,80,NO,NO
5574,3,2020,19205149,5.150000095367432,90,NO,NO
20127,3,2019,19809337,4.929999828338623,80,NO,NO
5992,3,2019,20955748,5.800000190734863,40,NO,NO
5565,2,2019,1737444,5.900000095367432,10,SI,NO
20127,3,2018,1784041,5.079999923706055,60,NO,NO
5567,2,2019,2200557,5.03000020980835,80,NO,NO
5566,5,2018,5189394,5.550000190734863,30,NO,SI
5663,3,2018,6670375,5.099999904632568,70,NO,NO
20127,3,2019,8711235,4.980000019073486,70,NO,NO
5814,3,2018,10599472,5.579999923706055,70,NO,NO
5729,3,2020,11223843,5.03000020980835,100,NO,NO
6113,3,2018,11492576,5.329999923706055,60,NO,NO
20127,3,2019,11814497,5.349999904632568,30,NO,SI
12368,3,2018,15142200,5.230000019073486,70,NO,NO
6163,2,2018,15669396,5.400000095367432,60,NO,NO
5568,2,2018,17782779,6.25,10,SI,NO
5570,2,2018,18553299,5.400000095367432,60,NO,NO
20127,3,2018,20888915,5.199999809265137,30,NO,SI
5663,3,2019,22597294,4.949999809265137,90,NO,NO
5568,2,2018,23378395,5.579999923706055,40,NO,NO
5568,2,2018,24703856,5.849999904632568,20,NO,SI
20127,3,2018,7478103,5.130000114440918,50,NO,NO
5663,3,2017,12225015,5.099999904632568,40,NO,NO
6163,2,2017,13103429,5.230000019073486,60,NO,NO
