RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
5806,3,2020,4185686,4.929999828338623,80,NO,NO
20261,3,2020,5477671,5.849999904632568,30,NO,SI
40024,2,2020,7011122,5.300000190734863,10,SI,NO
20261,3,2020,10918167,5.369999885559082,60,NO,NO
20001,3,2020,11832007,5.369999885559082,50,NO,NO
20214,3,2020,13080257,5.170000076293945,70,NO,NO
20012,3,2020,15687791,5.349999904632568,60,NO,NO
20012,3,2019,7332673,5.170000076293945,80,NO,NO
20012,3,2019,8329698,5.300000190734863,70,NO,NO
20012,3,2018,2452767,5.349999904632568,50,NO,NO
20001,3,2017,782684,4.5,70,NO,NO
5620,2,2017,791233,5.400000095367432,40,NO,NO
20261,3,2017,2593196,5.349999904632568,30,NO,SI
20001,3,2017,6210503,4.900000095367432,60,NO,NO
20261,3,2017,7657423,4.96999979019165,60,NO,NO
5620,2,2017,12133570,5.599999904632568,20,NO,SI
20001,3,2017,15730756,4.900000095367432,60,NO,NO
20001,3,2017,16298288,5.050000190734863,50,NO,NO
20044,3,2017,19897850,5.050000190734863,60,NO,NO
20012,3,2016,1863055,6.150000095367432,30,NO,SI
20012,3,2011,4173090,5.329999923706055,50,NO,NO
20044,3,2013,5608255,5.769999980926514,20,NO,SI
20214,3,2013,7477550,5.099999904632568,50,NO,NO
20001,3,2015,7877855,5.099999904632568,50,NO,NO
20078,3,2015,7943332,5.449999809265137,20,NO,SI
20270,3,2016,10060088,4.900000095367432,90,NO,NO
20211,3,2010,10072696,5.53000020980835,10,NO,SI
40112,3,2016,10132692,4.699999809265137,70,NO,NO
20012,3,2011,11614902,4.699999809265137,90,NO,NO
40112,3,2011,12082489,5.099999904632568,40,NO,NO
20044,3,2016,12786966,4.980000019073486,70,NO,NO
20211,3,2010,18459464,4.829999923706055,100,NO,NO
20044,3,2010,19129894,4.829999923706055,70,NO,NO
5824,2,2015,19198295,6,10,NO,SI
20001,3,2012,20214641,5.699999809265137,10,NO,SI
40112,3,2015,20687477,4.5,70,NO,NO
1206,2,2014,20916822,4.849999904632568,90,NO,NO
20044,3,2008,21692538,4.730000019073486,60,NO,NO
20044,3,2014,24265035,5.170000076293945,70,NO,NO
19923,3,2016,24621767,5.170000076293945,50,NO,NO
40129,3,2009,24850798,5.130000114440918,80,NO,NO
