RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
8463,5054236,2004,joven,0,0,0,0
8463,19227104,2004,joven,0,0,0,0
8463,20027314,2004,joven,0,0,0,0
8463,474328,2005,joven,0,0,0,0
8463,518423,2005,joven,0,0,0,0
8463,1028003,2005,joven,0,0,0,0
8463,1546234,2005,joven,0,0,0,0
8463,2064595,2005,joven,0,0,0,0
8463,2165624,2005,joven,0,0,0,0
8463,3683418,2005,joven,0,0,0,0
8463,4232716,2005,joven,0,0,0,0
8463,4565029,2005,joven,0,0,0,0
8463,4734976,2005,joven,0,0,0,0
8463,5803570,2005,joven,0,0,0,0
8463,6802220,2005,joven,0,0,0,0
8463,6887296,2005,joven,0,0,0,0
8463,8505211,2005,joven,0,0,0,0
8463,8545775,2005,joven,0,0,0,0
8463,11200428,2005,joven,0,0,0,0
8463,11868405,2005,joven,0,0,0,0
8463,12402663,2005,joven,0,0,0,0
8463,12560108,2005,joven,0,0,0,0
8463,14162069,2005,joven,0,0,0,0
8463,14177814,2005,joven,0,0,0,0
8463,14694269,2005,joven,0,0,0,0
8463,14696172,2005,joven,0,0,0,0
8463,14812408,2005,joven,0,0,0,0
8463,15627576,2005,joven,0,0,0,0
8463,15658230,2005,joven,0,0,0,0
8463,15799456,2005,joven,0,0,0,0
8463,16575470,2005,joven,0,0,0,0
8463,16635988,2005,joven,0,0,0,0
8463,16922055,2005,joven,0,0,0,0
8463,17551916,2005,joven,0,0,0,0
8463,18000641,2005,joven,0,0,0,0
8463,18187349,2005,joven,0,0,0,0
8463,18230732,2005,joven,0,0,0,0
8463,18983910,2005,joven,0,0,0,0
8463,19109093,2005,joven,0,0,0,0
8463,19185921,2005,joven,0,0,0,0
8463,19243073,2005,joven,0,0,0,0
8463,19492716,2005,joven,0,0,0,0
8463,20488946,2005,joven,0,0,0,0
8463,22662917,2005,joven,0,0,0,0
8463,23280054,2005,joven,0,0,0,0
8463,23617274,2005,joven,0,0,0,0
8463,24959614,2005,joven,0,0,0,0
8463,100921,2006,joven,0,0,0,0
8463,692885,2006,joven,0,0,0,0
8463,895188,2006,joven,0,0,0,0
8463,966904,2006,joven,0,0,0,0
8463,2269851,2006,joven,0,0,0,0
8463,2813831,2006,joven,0,0,0,0
8463,2969399,2006,joven,0,0,0,0
8463,3272369,2006,joven,0,0,0,0
8463,3613436,2006,joven,0,0,0,0
8463,3802939,2006,joven,0,0,0,0
8463,4633625,2006,joven,0,0,0,0
8463,4925105,2006,joven,0,0,0,0
8463,4965719,2006,joven,0,0,0,0
8463,6034313,2006,joven,0,0,0,0
8463,6135499,2006,joven,0,0,0,0
8463,6527795,2006,joven,0,0,0,0
8463,6641104,2006,joven,0,0,0,0
8463,7723786,2006,joven,0,0,0,0
8463,7824625,2006,joven,0,0,0,0
8463,9772322,2006,joven,0,0,0,0
8463,9873262,2006,joven,0,0,0,0
8463,10045823,2006,joven,0,0,0,0
8463,11148336,2006,joven,0,0,0,0
8463,11374935,2006,joven,0,0,0,0
8463,11572420,2006,joven,0,0,0,0
8463,13108529,2006,joven,0,0,0,0
8463,14251756,2006,joven,0,0,0,0
8463,14318374,2006,joven,0,0,0,0
8463,14489412,2006,joven,0,0,0,0
8463,14550658,2006,joven,0,0,0,0
8463,14953806,2006,joven,0,0,0,0
8463,17754791,2006,joven,0,0,0,0
8463,18288457,2006,joven,0,0,0,0
8463,18691580,2006,joven,0,0,0,0
8463,19023524,2006,joven,0,0,0,0
8463,19124383,2006,joven,0,0,0,0
8463,20642045,2006,joven,0,0,0,0
8463,21108258,2006,joven,0,0,0,0
8463,22430930,2006,joven,0,0,0,0
8463,22527670,2006,joven,0,0,0,0
8463,22590294,2006,joven,0,0,0,0
8463,22618957,2006,joven,0,0,0,0
8463,22879366,2006,joven,0,0,0,0
8463,23083521,2006,joven,0,0,0,0
8463,23110835,2006,joven,0,0,0,0
8463,23224825,2006,joven,0,0,0,0
8463,23830338,2006,joven,0,0,0,0
8463,24191792,2006,joven,0,0,0,0
8463,313532,2007,joven,0,0,0,0
8463,414158,2007,joven,0,0,0,0
8463,572065,2007,joven,0,0,0,0
8463,791023,2007,joven,0,0,0,0
8463,1121971,2007,joven,0,0,0,0
8463,1207750,2007,joven,0,0,0,0
8463,1223658,2007,joven,0,0,0,0
8463,1528720,2007,joven,0,0,0,0
8463,1741768,2007,joven,0,0,0,0
8463,1757694,2007,joven,0,0,0,0
8463,3243304,2007,joven,0,0,0,0
8463,3312924,2007,joven,0,0,0,0
8463,3793228,2007,joven,0,0,0,0
8463,3826676,2007,joven,0,0,0,0
8463,4037356,2007,joven,0,0,0,0
8463,4793868,2007,joven,0,0,0,0
8463,5913610,2007,joven,0,0,0,0
8463,6346538,2007,joven,0,0,0,0
8463,8599604,2007,joven,0,0,0,0
8463,9415201,2007,joven,0,0,0,0
8463,9478429,2007,joven,0,0,0,0
8463,9825841,2007,joven,0,0,0,0
8463,10045824,2007,joven,0,0,0,0
8463,10217620,2007,joven,0,0,0,0
8463,10549836,2007,joven,0,0,0,0
8463,10554284,2007,joven,0,0,0,0
8463,10621303,2007,joven,0,0,0,0
8463,10773853,2007,joven,0,0,0,0
8463,10821935,2007,joven,0,0,0,0
8463,11788296,2007,joven,0,0,0,0
8463,11832468,2007,joven,0,0,0,0
8463,12063084,2007,joven,0,0,0,0
8463,12443142,2007,joven,0,0,0,0
8463,13507462,2007,joven,0,0,0,0
8463,13822464,2007,joven,0,0,0,0
8463,14069221,2007,joven,0,0,0,0
8463,15266707,2007,joven,0,0,0,0
8463,17594368,2007,joven,0,0,0,0
8463,18556160,2007,joven,0,0,0,0
8463,19178762,2007,joven,0,0,0,0
8463,20040964,2007,joven,0,0,0,0
8463,20336468,2007,joven,0,0,0,0
8463,20814846,2007,joven,0,0,0,0
8463,21707407,2007,joven,0,0,0,0
8463,23162270,2007,joven,0,0,0,0
8463,23730446,2007,joven,0,0,0,0
8463,24886345,2007,joven,0,0,0,0
8463,302206,2008,joven,0,0,0,0
8463,364436,2008,joven,0,0,0,0
8463,952803,2008,joven,0,0,0,0
8463,2221700,2008,joven,0,0,0,0
8463,2263250,2008,joven,0,0,0,0
8463,2539629,2008,joven,0,0,0,0
8463,2847493,2008,joven,0,0,0,0
8463,3845870,2008,joven,0,0,0,0
8463,4002514,2008,joven,0,0,0,0
8463,4349429,2008,joven,0,0,0,0
8463,4434973,2008,joven,0,0,0,0
8463,4501354,2008,joven,0,0,0,0
8463,5109148,2008,joven,0,0,0,0
8463,5604773,2008,joven,0,0,0,0
8463,6384827,2008,joven,0,0,0,0
8463,6642236,2008,joven,0,0,0,0
8463,6644467,2008,joven,0,0,0,0
8463,7215272,2008,joven,0,0,0,0
8463,7906511,2008,joven,0,0,0,0
8463,8274686,2008,joven,0,0,0,0
8463,8311475,2008,joven,0,0,0,0
8463,8425306,2008,joven,0,0,0,0
8463,9109807,2008,joven,0,0,0,0
8463,9362455,2008,joven,0,0,0,0
8463,9381462,2008,joven,0,0,0,0
8463,10673230,2008,joven,0,0,0,0
8463,11045704,2008,joven,0,0,0,0
8463,11472570,2008,joven,0,0,0,0
8463,12314269,2008,joven,0,0,0,0
8463,12374581,2008,joven,0,0,0,0
8463,13552941,2008,joven,0,0,0,0
8463,14214344,2008,joven,0,0,0,0
8463,14505486,2008,joven,0,0,0,0
8463,14929199,2008,joven,0,0,0,0
8463,15030802,2008,joven,0,0,0,0
8463,15146683,2008,joven,0,0,0,0
8463,15546312,2008,joven,0,0,0,0
8463,15650089,2008,joven,0,0,0,0
8463,15870266,2008,joven,0,0,0,0
8463,16155693,2008,joven,0,0,0,0
8463,17338428,2008,joven,0,0,0,0
8463,17859003,2008,joven,0,0,0,0
8463,18040782,2008,joven,0,0,0,0
8463,18320283,2008,joven,0,0,0,0
8463,18390466,2008,joven,0,0,0,0
8463,19539484,2008,joven,0,0,0,0
8463,20024224,2008,joven,0,0,0,0
8463,20804048,2008,joven,0,0,0,0
8463,20905752,2008,joven,0,0,0,0
8463,21523056,2008,joven,0,0,0,0
8463,21525303,2008,joven,0,0,0,0
8463,22660829,2008,joven,0,0,0,0
8463,22883822,2008,joven,0,0,0,0
8463,22906273,2008,joven,0,0,0,0
8463,22954020,2008,joven,0,0,0,0
8463,22969830,2008,joven,0,0,0,0
8463,23006816,2008,joven,0,0,0,0
8463,23127452,2008,joven,0,0,0,0
8463,23490456,2008,joven,0,0,0,0
8463,24708336,2008,joven,0,0,0,0
8463,260970,2009,joven,0,0,0,0
8463,390065,2009,joven,0,0,0,0
8463,546371,2009,joven,0,0,0,0
8463,620667,2009,joven,0,0,0,0
8463,1154699,2009,joven,0,0,0,0
8463,1316839,2009,joven,0,0,0,0
8463,1615799,2009,joven,0,0,0,0
8463,2251711,2009,joven,0,0,0,0
8463,3015523,2009,joven,0,0,0,0
8463,4185602,2009,joven,0,0,0,0
8463,4462429,2009,joven,0,0,0,0
8463,4893597,2009,joven,0,0,0,0
8463,6076517,2009,joven,0,0,0,0
8463,7372412,2009,joven,0,0,0,0
8463,7674064,2009,joven,0,0,0,0
8463,8401148,2009,joven,0,0,0,0
8463,8707666,2009,joven,0,0,0,0
8463,9144306,2009,joven,0,0,0,0
8463,9166590,2009,joven,0,0,0,0
8463,10031428,2009,joven,0,0,0,0
8463,11303047,2009,joven,0,0,0,0
8463,11662253,2009,joven,0,0,0,0
