RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
8906,4,2020,1600948,6.03000020980835,90,NO,NO
8906,4,2020,2423702,6.230000019073486,70,NO,NO
8906,4,2020,2436334,5.900000095367432,90,NO,NO
8906,4,2020,2495731,6.650000095367432,20,NO,SI
8906,4,2020,3025205,5.829999923706055,100,NO,NO
8906,4,2020,4770724,6.53000020980835,40,NO,NO
8894,4,2020,4947258,5.880000114440918,70,NO,NO
8906,4,2020,5324199,6.5,40,NO,NO
8906,4,2020,6519854,6.5,40,NO,NO
8906,4,2020,7683818,6,90,NO,NO
8906,4,2020,8310785,6.179999828338623,80,NO,NO
8906,4,2020,8979615,6.630000114440918,20,NO,SI
8906,4,2020,9778375,6.53000020980835,40,NO,NO
25654,4,2020,10376859,6.650000095367432,30,NO,SI
8906,4,2020,11078961,6.679999828338623,20,NO,SI
8906,4,2020,12038279,6.349999904632568,60,NO,NO
8906,4,2020,12164397,6.179999828338623,80,NO,NO
12036,4,2020,12235364,6.849999904632568,10,SI,NO
8906,4,2020,12606954,6.230000019073486,70,NO,NO
8906,4,2020,13079927,5.480000019073486,100,NO,NO
8906,4,2020,13622840,6.550000190734863,40,NO,NO
8991,4,2020,14395055,6.380000114440918,50,NO,NO
22144,4,2020,14618536,5.929999828338623,90,NO,NO
8906,4,2020,16015683,6.599999904632568,30,NO,SI
8906,4,2020,16292773,6.050000190734863,90,NO,NO
8906,4,2020,16371559,6.599999904632568,30,NO,SI
8906,4,2020,18379021,6.699999809265137,20,NO,SI
8906,4,2020,19113792,6.849999904632568,10,SI,NO
8906,4,2020,19756354,6.150000095367432,80,NO,NO
9006,1,2020,20386711,6.150000095367432,20,NO,SI
8906,4,2020,20494095,6.28000020980835,70,NO,NO
8906,4,2020,21706651,6.449999809265137,50,NO,NO
8906,4,2020,22076600,6.25,70,NO,NO
8906,4,2020,22702260,6.449999809265137,50,NO,NO
8906,4,2020,22895037,5.949999809265137,90,NO,NO
8906,4,2020,24854737,6.699999809265137,20,NO,SI
8906,4,2020,805414,6.829999923706055,10,SI,NO
8906,4,2020,1185311,5.929999828338623,90,NO,NO
8905,4,2020,1338063,5.28000020980835,80,NO,NO
8906,4,2020,2509022,6.78000020980835,10,SI,NO
8906,4,2020,3476559,5.880000114440918,100,NO,NO
8906,4,2020,4038748,5.800000190734863,100,NO,NO
8906,4,2020,4079432,6.550000190734863,40,NO,NO
8906,4,2020,4758154,6.329999923706055,60,NO,NO
8906,4,2020,5021889,6.75,10,SI,NO
8906,4,2020,5590643,6.579999923706055,30,NO,SI
8906,4,2020,5689936,5.880000114440918,100,NO,NO
8906,4,2020,5826807,6.079999923706055,90,NO,NO
8906,4,2020,6117363,6.650000095367432,20,NO,SI
8906,4,2020,7242594,6.130000114440918,90,NO,NO
8906,4,2020,8426754,6.550000190734863,40,NO,NO
8906,4,2020,9819052,6.630000114440918,20,NO,SI
8906,4,2020,10090961,6.630000114440918,20,NO,SI
8906,4,2020,10317423,6.53000020980835,40,NO,NO
8906,4,2020,10582382,6.5,40,NO,NO
8906,4,2020,10861141,6.130000114440918,90,NO,NO
8906,4,2020,11587757,6.730000019073486,10,SI,NO
8906,4,2020,14946321,6.730000019073486,10,SI,NO
8906,4,2020,14980963,6.480000019073486,50,NO,NO
8906,4,2020,15739645,6.78000020980835,10,SI,NO
8906,4,2020,15874545,6.730000019073486,10,SI,NO
8906,4,2020,18456474,6.78000020980835,10,SI,NO
8906,4,2020,18963125,6.880000114440918,10,SI,NO
8906,4,2020,19198609,6.050000190734863,90,NO,NO
8906,4,2020,19276716,6.230000019073486,70,NO,NO
8867,4,2020,19646709,6.730000019073486,20,NO,SI
8906,4,2020,20453188,6.329999923706055,60,NO,NO
8906,4,2020,21697436,6.179999828338623,80,NO,NO
8906,4,2020,21848233,6.630000114440918,20,NO,SI
8906,4,2020,21996842,6.25,70,NO,NO
8906,4,2020,24827907,6.730000019073486,10,SI,NO
8906,4,2020,1570308,6.829999923706055,10,SI,NO
8906,4,2020,3577366,6.179999828338623,80,NO,NO
8906,4,2020,3823242,6.380000114440918,60,NO,NO
8906,4,2020,5316136,6.679999828338623,20,NO,SI
8906,4,2020,5745971,6.449999809265137,50,NO,NO
8906,4,2020,5969255,6.179999828338623,80,NO,NO
8906,4,2020,7128904,6.730000019073486,10,SI,NO
8906,4,2020,7214291,6.599999904632568,30,NO,SI
8906,4,2020,7229334,6.400000095367432,60,NO,NO
25180,4,2020,8209905,5.480000019073486,100,NO,NO
8906,4,2020,9004020,6.079999923706055,90,NO,NO
8906,4,2020,9215217,6.480000019073486,50,NO,NO
8906,4,2020,10519249,6.550000190734863,40,NO,NO
8877,4,2020,10824109,5.929999828338623,90,NO,NO
8906,4,2020,11198945,6.579999923706055,30,NO,SI
8906,4,2020,11460869,5.699999809265137,100,NO,NO
8906,4,2020,14333330,6.300000190734863,60,NO,NO
8906,4,2020,15124195,6.429999828338623,50,NO,NO
8906,4,2020,15674856,5.880000114440918,100,NO,NO
8906,4,2020,16134453,6.579999923706055,30,NO,SI
8906,4,2020,16872329,6.599999904632568,30,NO,SI
8906,4,2020,17267992,5.650000095367432,100,NO,NO
8906,4,2020,18444250,6.630000114440918,20,NO,SI
8906,4,2020,18620408,5.900000095367432,90,NO,NO
8906,4,2020,19982190,6.400000095367432,60,NO,NO
8906,4,2020,20277451,6.230000019073486,70,NO,NO
8906,4,2020,20875913,6.449999809265137,50,NO,NO
8906,4,2020,21452022,6.650000095367432,20,NO,SI
8906,4,2020,21589735,6.179999828338623,80,NO,NO
8906,4,2020,22449933,6.630000114440918,20,NO,SI
8991,4,2020,22778296,5.880000114440918,90,NO,NO
8906,4,2020,23119476,6.079999923706055,90,NO,NO
8906,4,2020,23489160,6.449999809265137,50,NO,NO
8906,4,2020,23596284,6.449999809265137,50,NO,NO
8906,4,2020,23722553,5.599999904632568,100,NO,NO
8906,4,2020,23938136,6.730000019073486,10,SI,NO
8906,4,2020,24127287,6.480000019073486,50,NO,NO
8906,4,2020,3878833,6.829999923706055,10,SI,NO
8906,4,2020,4453259,6.480000019073486,50,NO,NO
8906,4,2020,5093891,6.599999904632568,30,NO,SI
8906,4,2020,5600948,6.829999923706055,10,SI,NO
8906,4,2020,6373607,6.300000190734863,60,NO,NO
8906,4,2020,7459916,6.5,40,NO,NO
8906,4,2020,7521964,6.829999923706055,10,SI,NO
8906,4,2020,7578554,6.329999923706055,60,NO,NO
8906,4,2020,7760557,6.679999828338623,20,NO,SI
8906,4,2020,8149409,6.150000095367432,80,NO,NO
8906,4,2020,8273330,6.53000020980835,40,NO,NO
8906,4,2020,8396006,5.400000095367432,100,NO,NO
8906,4,2020,9176876,6.630000114440918,20,NO,SI
8906,4,2020,10595947,5.650000095367432,100,NO,NO
8906,4,2020,10721405,6.28000020980835,70,NO,NO
8906,4,2020,10980867,6.699999809265137,20,NO,SI
8906,4,2020,12457952,6.150000095367432,80,NO,NO
8906,4,2020,13345346,6.300000190734863,60,NO,NO
8906,4,2020,13672324,6.179999828338623,80,NO,NO
8906,4,2020,13758143,5.75,100,NO,NO
8906,4,2020,14930889,6.429999828338623,50,NO,NO
8906,4,2020,17166614,6.179999828338623,80,NO,NO
8906,4,2020,17379801,6.53000020980835,40,NO,NO
8906,4,2020,17505155,6.300000190734863,60,NO,NO
8906,4,2020,17822281,6.579999923706055,30,NO,SI
8906,4,2020,17995555,6.380000114440918,60,NO,NO
8906,4,2020,17995556,6.349999904632568,60,NO,NO
8906,4,2020,18890458,6.5,40,NO,NO
8906,4,2020,19497388,6.150000095367432,80,NO,NO
8906,4,2020,19751925,6.28000020980835,70,NO,NO
8892,4,2020,19866704,6.630000114440918,30,NO,SI
8906,4,2020,20891019,6.900000095367432,10,SI,NO
8906,4,2020,21457307,6.730000019073486,10,SI,NO
8906,4,2020,22009881,6.380000114440918,60,NO,NO
8906,4,2020,23684754,5.630000114440918,100,NO,NO
25055,4,2020,24523940,6.929999828338623,10,SI,NO
8906,4,2020,2002174,6.150000095367432,80,NO,NO
8906,4,2020,2308312,6.25,70,NO,NO
8906,4,2020,2761752,6,90,NO,NO
8906,4,2020,3952064,6.679999828338623,20,NO,SI
8906,4,2020,4111176,5.699999809265137,100,NO,NO
8906,4,2020,4668175,6.179999828338623,80,NO,NO
8906,4,2020,5129482,6.630000114440918,20,NO,SI
20209,3,2020,5156542,6.679999828338623,10,SI,NO
8906,4,2020,5628134,6.579999923706055,30,NO,SI
8906,4,2020,7283161,6,90,NO,NO
8906,4,2020,7695634,6.429999828338623,50,NO,NO
8906,4,2020,8601613,6.630000114440918,20,NO,SI
8906,4,2020,10147534,6.550000190734863,40,NO,NO
8906,4,2020,10215718,6.679999828338623,20,NO,SI
8906,4,2020,10317424,6.199999809265137,80,NO,NO
8906,4,2020,10346009,6.300000190734863,60,NO,NO
8906,4,2020,10415285,6.800000190734863,10,SI,NO
8906,4,2020,11273962,6.230000019073486,70,NO,NO
8906,4,2020,11775442,6.679999828338623,20,NO,SI
8906,4,2020,13198262,6.480000019073486,50,NO,NO
8906,4,2020,14575563,6.5,40,NO,NO
8906,4,2020,15224772,6.199999809265137,80,NO,NO
8906,4,2020,16938056,6.53000020980835,40,NO,NO
8906,4,2020,18099084,6.400000095367432,60,NO,NO
8906,4,2020,18108568,6.230000019073486,70,NO,NO
8906,4,2020,18452858,6.130000114440918,90,NO,NO
8906,4,2020,18829460,6.829999923706055,10,SI,NO
8906,4,2020,18975537,6.28000020980835,70,NO,NO
8906,4,2020,19095521,6.199999809265137,80,NO,NO
8906,4,2020,21779544,6.03000020980835,90,NO,NO
8906,4,2020,22122389,6.650000095367432,20,NO,SI
8906,4,2020,22663820,6.650000095367432,20,NO,SI
8906,4,2020,23494405,6.5,40,NO,NO
8906,4,2020,23765098,6.349999904632568,60,NO,NO
8906,4,2020,24809498,6.429999828338623,50,NO,NO
8906,4,2020,24982334,6.25,70,NO,NO
8906,4,2019,1730691,5.349999904632568,100,NO,NO
8906,4,2019,1842547,5.900000095367432,80,NO,NO
8906,4,2019,3514678,5.980000019073486,70,NO,NO
8906,4,2019,3862198,6.050000190734863,60,NO,NO
8906,4,2019,4426109,5.980000019073486,70,NO,NO
8906,4,2019,4566297,6.400000095367432,30,NO,SI
8906,4,2019,6369412,6.679999828338623,10,SI,NO
8919,4,2019,6436464,5.78000020980835,70,NO,NO
8906,4,2019,7148057,6.699999809265137,10,SI,NO
26476,4,2019,7340560,5.480000019073486,90,NO,NO
8906,4,2019,7859426,5.550000190734863,100,NO,NO
8906,4,2019,7977936,6.53000020980835,20,NO,SI
8906,4,2019,8232922,5.679999828338623,90,NO,NO
8906,4,2019,8560865,6.230000019073486,50,NO,NO
8906,4,2019,11625668,5.929999828338623,80,NO,NO
8906,4,2020,12062414,5.53000020980835,100,NO,NO
8900,4,2019,12930282,5.480000019073486,90,NO,NO
8906,4,2019,14759843,6.300000190734863,40,NO,NO
8906,4,2019,15245630,5.679999828338623,90,NO,NO
8906,4,2019,15739352,6.03000020980835,70,NO,NO
8906,4,2019,16734670,6.179999828338623,60,NO,NO
8906,4,2019,16795307,5.949999809265137,70,NO,NO
8906,4,2019,18005914,6.699999809265137,10,SI,NO
8906,4,2019,18048789,6.230000019073486,50,NO,NO
8906,4,2019,20054106,5.980000019073486,70,NO,NO
8906,4,2019,20069888,6.429999828338623,30,NO,SI
8906,4,2019,20506060,6,70,NO,NO
8906,4,2019,20588858,6.329999923706055,40,NO,NO
8906,4,2019,20831773,5.179999828338623,100,NO,NO
8906,4,2019,21708014,6,70,NO,NO
8906,4,2019,21760113,6.150000095367432,60,NO,NO
8906,4,2019,22995515,6.53000020980835,20,NO,SI
8906,4,2019,23463321,6.53000020980835,20,NO,SI
8906,4,2019,23993731,5.929999828338623,80,NO,NO
8906,4,2019,24574937,6.230000019073486,50,NO,NO
8906,4,2019,24736617,6.099999904632568,60,NO,NO
8906,4,2019,24759319,6.300000190734863,40,NO,NO
8906,4,2019,24960874,6.150000095367432,60,NO,NO
8906,4,2019,1240345,6.300000190734863,40,NO,NO
8906,4,2019,1711646,5.429999828338623,100,NO,NO
8906,4,2019,2370351,6.130000114440918,60,NO,NO
8906,4,2019,3767328,6.630000114440918,10,SI,NO
8906,4,2019,4824649,5.679999828338623,90,NO,NO
8906,4,2019,6247453,6.050000190734863,60,NO,NO
8906,4,2019,6820096,5.480000019073486,100,NO,NO
8906,4,2019,7166624,6.630000114440918,10,SI,NO
8906,4,2019,7380882,6.550000190734863,20,NO,SI
8906,4,2019,8232177,6.300000190734863,40,NO,NO
8906,4,2019,8522329,5.679999828338623,90,NO,NO
8906,4,2019,10918033,6.550000190734863,20,NO,SI
8906,4,2019,11110099,6.179999828338623,60,NO,NO
8906,4,2019,14179824,6.53000020980835,20,NO,SI
8906,4,2019,14428325,6.230000019073486,50,NO,NO
31047,4,2019,14539890,6.03000020980835,30,NO,SI
8906,4,2019,15786248,6.230000019073486,50,NO,NO
8906,4,2019,15921573,6.150000095367432,60,NO,NO
8906,4,2019,16679235,5.630000114440918,100,NO,NO
8906,4,2019,16962873,5.949999809265137,70,NO,NO
8906,4,2019,18131449,6.429999828338623,30,NO,SI
8906,4,2019,18313118,5.980000019073486,70,NO,NO
8906,4,2019,18640887,6.880000114440918,10,SI,NO
8906,4,2019,19460545,6.480000019073486,30,NO,SI
31047,4,2019,20085026,5.78000020980835,50,NO,NO
8906,4,2019,20139655,6.599999904632568,20,NO,SI
8906,4,2019,20170545,6.400000095367432,30,NO,SI
8906,4,2019,20619756,5.900000095367432,80,NO,NO
8906,4,2019,21068933,5.800000190734863,90,NO,NO
8906,4,2019,21542953,5.849999904632568,80,NO,NO
8906,4,2019,22561119,6.400000095367432,30,NO,SI
8906,4,2019,22709502,6.53000020980835,20,NO,SI
8906,4,2019,23084785,6.28000020980835,50,NO,NO
8906,4,2019,23400378,6.099999904632568,60,NO,NO
8906,4,2019,23650263,6.25,50,NO,NO
8906,4,2019,23924509,6.53000020980835,20,NO,SI
8906,4,2019,24124897,6.25,50,NO,NO
8906,4,2019,128930,6.679999828338623,10,SI,NO
8906,4,2019,3561366,6.679999828338623,10,SI,NO
8906,4,2019,4149876,6.599999904632568,20,NO,SI
8906,4,2019,5937894,6.579999923706055,20,NO,SI
8906,4,2019,6484608,6,70,NO,NO
8906,4,2019,6649258,6.03000020980835,70,NO,NO
8906,4,2019,6936381,6.429999828338623,30,NO,SI
8906,4,2019,7019065,6.300000190734863,40,NO,NO
8906,4,2019,7263452,6.28000020980835,50,NO,NO
8906,4,2019,7539494,6.380000114440918,40,NO,NO
8906,4,2019,7581404,6.130000114440918,60,NO,NO
8906,4,2019,7787889,6.579999923706055,20,NO,SI
8906,4,2019,8955268,6.78000020980835,10,SI,NO
8906,4,2019,10010792,5.400000095367432,100,NO,NO
8906,4,2019,10792209,6.380000114440918,40,NO,NO
8906,4,2019,10810143,5.550000190734863,100,NO,NO
8906,4,2019,11970567,6.78000020980835,10,SI,NO
8870,4,2019,12062413,5.480000019073486,90,NO,NO
8906,4,2019,12810934,5.980000019073486,70,NO,NO
8906,4,2019,13026807,6.5,30,NO,SI
8906,4,2019,13563597,6.400000095367432,30,NO,SI
8906,4,2019,15518589,6.329999923706055,40,NO,NO
8906,4,2019,15910327,6.199999809265137,50,NO,NO
8906,4,2019,16191065,6.230000019073486,50,NO,NO
8906,4,2019,16649969,6.050000190734863,60,NO,NO
8906,4,2019,16880398,5.400000095367432,100,NO,NO
8906,4,2019,17863420,5.880000114440918,80,NO,NO
8906,4,2019,18694785,6.630000114440918,10,SI,NO
8906,4,2019,19203934,6.300000190734863,40,NO,NO
8906,4,2019,19377403,6.079999923706055,60,NO,NO
8906,4,2019,19763720,6.449999809265137,30,NO,SI
8906,4,2019,19938423,6.599999904632568,20,NO,SI
8906,4,2019,20616239,6.78000020980835,10,SI,NO
8868,4,2020,21152906,6.099999904632568,90,NO,NO
8906,4,2019,22755358,6.599999904632568,20,NO,SI
8906,4,2019,23788708,5.400000095367432,100,NO,NO
8906,4,2019,23844463,6.630000114440918,10,SI,NO
8906,4,2019,24005834,5.730000019073486,90,NO,NO
8906,4,2019,1112254,5.880000114440918,80,NO,NO
8906,4,2019,1408731,5.699999809265137,90,NO,NO
8906,4,2019,2214608,5.949999809265137,70,NO,NO
8906,4,2019,2228116,6.300000190734863,40,NO,NO
8906,4,2019,4768621,6.75,10,SI,NO
8906,4,2019,5159877,6.079999923706055,60,NO,NO
9270,4,2019,6115925,5.480000019073486,80,NO,NO
8906,4,2019,6214205,6.329999923706055,40,NO,NO
8906,4,2019,6501408,6.599999904632568,20,NO,SI
8906,4,2019,6916920,5.550000190734863,100,NO,NO
8906,4,2019,7221372,5.880000114440918,80,NO,NO
8906,4,2019,9520498,5.550000190734863,100,NO,NO
8906,4,2019,9847525,6.630000114440918,10,SI,NO
8906,4,2019,9933958,5.730000019073486,90,NO,NO
8906,4,2019,12156409,6.349999904632568,40,NO,NO
8906,4,2019,12435728,6.099999904632568,60,NO,NO
17687,3,2019,13845117,6.599999904632568,10,SI,NO
8906,4,2019,13911097,6.380000114440918,40,NO,NO
8906,4,2019,14386741,6.349999904632568,40,NO,NO
8906,4,2019,14410473,6.28000020980835,50,NO,NO
8906,4,2019,14955696,5.880000114440918,80,NO,NO
8906,4,2019,15093497,6.449999809265137,30,NO,SI
8906,4,2019,16618538,6.550000190734863,20,NO,SI
8906,4,2019,18014371,6.050000190734863,60,NO,NO
8906,4,2019,18040712,6.429999828338623,30,NO,SI
8906,4,2020,20618974,5.599999904632568,100,NO,NO
8906,4,2019,21039897,5.75,90,NO,NO
8906,4,2019,21526351,5.78000020980835,90,NO,NO
