RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
24761,4,2020,17130175,5.670000076293945,60,NO,NO
25054,4,2020,24945642,6.070000171661377,60,NO,NO
24896,4,2019,14125144,5.380000114440918,30,NO,SI
9460,1,2018,17105751,5.230000019073486,50,NO,NO
3640,5,2018,19461538,4.929999828338623,60,NO,NO
25054,4,2018,23430280,6.53000020980835,30,NO,SI
24832,4,2018,23493656,5.300000190734863,50,NO,NO
24761,4,2017,18799774,5.03000020980835,80,NO,NO
25190,4,2014,4149802,5.449999809265137,30,NO,SI
8883,4,2007,7133959,5.570000171661377,20,NO,SI
25271,1,2008,7312774,5.800000190734863,10,NO,SI
25190,4,2015,10430064,5.03000020980835,50,NO,NO
24832,4,2012,10626425,5.699999809265137,20,NO,SI
26505,3,2010,14041245,5.130000114440918,40,NO,NO
8883,4,2014,16133699,5.03000020980835,30,NO,SI
9288,1,2014,16531691,5.929999828338623,20,NO,SI
9006,1,2010,18825832,5.300000190734863,30,NO,SI
24761,4,2012,20192083,5.769999980926514,20,NO,SI
25190,4,2012,20862056,5.53000020980835,10,NO,SI
25190,4,2013,21022809,5.150000095367432,50,NO,NO
31047,4,2013,24766278,5.03000020980835,60,NO,NO
25514,1,2015,24796157,5.550000190734863,20,NO,SI
25190,4,2013,12448864,6.03000020980835,10,NO,SI
25190,4,2013,17060514,5.150000095367432,50,NO,NO
25190,4,2011,19581962,4.800000190734863,90,NO,NO
25054,4,2007,21127557,5.300000190734863,40,NO,NO
