RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
5570,2,2019,829670,5.449999809265137,50,NO,NO
5570,2,2018,3146717,5.829999923706055,30,NO,SI
5570,2,2019,3533624,5.650000095367432,40,NO,NO
5570,2,2018,3702342,5.400000095367432,60,NO,NO
4533,5,2020,3821220,5.480000019073486,60,NO,NO
5570,2,2018,3919411,5.650000095367432,40,NO,NO
5570,2,2019,4416591,5.050000190734863,90,NO,NO
5570,2,2018,5278466,6.449999809265137,10,SI,NO
5570,2,2019,5395258,5.400000095367432,60,NO,NO
19925,3,2018,5570648,5.929999828338623,30,NO,SI
5570,2,2018,6530409,5.800000190734863,30,NO,SI
5570,2,2018,7885640,6.050000190734863,20,NO,SI
5570,2,2018,11998862,6.300000190734863,10,SI,NO
5570,2,2018,12345410,5.730000019073486,30,NO,SI
5570,2,2018,14030017,5.5,50,NO,NO
20193,3,2018,14837169,5.329999923706055,70,NO,NO
5570,2,2018,15103944,5.800000190734863,30,NO,SI
5570,2,2018,15207427,5.78000020980835,30,NO,SI
5570,2,2018,15788327,5.480000019073486,60,NO,NO
5570,2,2019,16248823,5.130000114440918,80,NO,NO
5570,2,2019,17774348,4.900000095367432,100,NO,NO
20025,2,2018,18206342,5.78000020980835,30,NO,SI
19974,3,2019,18531424,5.449999809265137,50,NO,NO
5570,2,2018,18763035,6.550000190734863,10,SI,NO
5570,2,2019,18819369,5.650000095367432,40,NO,NO
5570,2,2018,19142475,6.300000190734863,10,SI,NO
5570,2,2018,19261656,6.050000190734863,20,NO,SI
5569,2,2018,19467636,5.550000190734863,40,NO,NO
5570,2,2018,20184971,6.130000114440918,20,NO,SI
5570,2,2018,20501936,6.480000019073486,10,SI,NO
5570,2,2019,20750561,5.300000190734863,70,NO,NO
5570,2,2018,21195561,5.630000114440918,40,NO,NO
5570,2,2018,21724106,5.630000114440918,40,NO,NO
5570,2,2018,22416491,5.329999923706055,70,NO,NO
5570,2,2018,24656719,5.380000114440918,70,NO,NO
5570,2,2018,1514925,5.230000019073486,80,NO,NO
5570,2,2017,2118342,5.829999923706055,20,NO,SI
5570,2,2017,2628169,5.949999809265137,20,NO,SI
5570,2,2017,2751570,6.429999828338623,10,SI,SI
5570,2,2017,5090285,6.550000190734863,10,SI,SI
5570,2,2017,6194653,5.230000019073486,60,NO,NO
5570,2,2017,6281761,5.53000020980835,40,NO,NO
5570,2,2018,6334905,6.28000020980835,10,SI,NO
5570,2,2017,6490315,6.380000114440918,10,SI,SI
5568,2,2018,6601022,5.550000190734863,50,NO,NO
5570,2,2017,6957100,5.550000190734863,30,NO,SI
5570,2,2017,9633813,5.550000190734863,30,NO,SI
5656,3,2017,9810947,5.829999923706055,10,SI,SI
5570,2,2017,9892916,5.429999828338623,40,NO,NO
5570,2,2017,11577480,5.980000019073486,20,NO,SI
5570,2,2017,11925794,6.199999809265137,10,SI,SI
5570,2,2017,12257265,5.199999809265137,60,NO,NO
5570,2,2017,13766473,5.880000114440918,20,NO,SI
5570,2,2017,13798113,5.679999828338623,30,NO,SI
5570,2,2017,15050378,6.300000190734863,10,SI,SI
5570,2,2017,15161017,4.900000095367432,80,NO,NO
5570,2,2017,16279171,6.050000190734863,10,SI,SI
5570,2,2017,16372898,5.829999923706055,20,NO,SI
5570,2,2017,16841272,6.329999923706055,10,SI,SI
5570,2,2017,18779050,6.079999923706055,10,SI,SI
5666,3,2017,19540398,6.480000019073486,10,SI,SI
5570,2,2017,19618909,5.630000114440918,30,NO,SI
5570,2,2017,20192938,5.429999828338623,40,NO,NO
5570,2,2017,20335136,6.400000095367432,10,SI,SI
5570,2,2018,22163403,4.980000019073486,100,NO,NO
5570,2,2017,22191504,6.199999809265137,10,SI,SI
16729,2,2017,23978911,5.980000019073486,20,NO,SI
19959,3,2018,23992324,5,90,NO,NO
5570,2,2018,24185501,5.300000190734863,70,NO,NO
5570,2,2017,1976714,5.079999923706055,70,NO,NO
5570,2,2017,2326360,5.150000095367432,60,NO,NO
5570,2,2017,2960460,5.900000095367432,20,NO,SI
20053,2,2017,3045499,6.050000190734863,10,SI,SI
5570,2,2017,3192093,5.929999828338623,20,NO,SI
5570,2,2017,4383906,5.28000020980835,50,NO,NO
5570,2,2017,6057676,5.829999923706055,20,NO,SI
5570,2,2017,6884409,5.230000019073486,60,NO,NO
6643,3,2017,6926910,5.599999904632568,40,NO,NO
5570,2,2018,7900947,5.300000190734863,70,NO,NO
5570,2,2018,9239462,4.849999904632568,100,NO,NO
5570,2,2017,10096988,5.199999809265137,60,NO,NO
5565,2,2017,12385388,5.400000095367432,30,NO,SI
5568,2,2018,14999734,5.650000095367432,40,NO,NO
6649,3,2018,16468095,6.150000095367432,30,NO,SI
5570,2,2017,16913947,4.980000019073486,80,NO,NO
5570,2,2017,17363295,5.449999809265137,40,NO,NO
5816,3,2017,18203576,5.53000020980835,60,NO,NO
5570,2,2019,18892855,4.980000019073486,100,NO,NO
5570,2,2018,19009129,5.329999923706055,70,NO,NO
5570,2,2017,19581828,5.199999809265137,60,NO,NO
19974,3,2018,19640031,6.03000020980835,10,SI,NO
5570,2,2017,20118984,5.179999828338623,60,NO,NO
5570,2,2017,20159794,5.179999828338623,60,NO,NO
5570,2,2017,20815744,5.050000190734863,70,NO,NO
5570,2,2017,21749101,5.550000190734863,30,NO,SI
5663,3,2017,22852793,5.699999809265137,10,SI,SI
5570,2,2017,23485704,5.829999923706055,20,NO,SI
5570,2,2017,24532810,5.800000190734863,20,NO,SI
5570,2,2017,1061571,4.929999828338623,80,NO,NO
5570,2,2017,1483330,4.949999809265137,80,NO,NO
5569,2,2017,2823436,5.079999923706055,60,NO,NO
5570,2,2017,4639911,5.400000095367432,40,NO,NO
5713,3,2018,4793603,5.050000190734863,70,NO,NO
5570,2,2017,6670376,5.230000019073486,60,NO,NO
5570,2,2017,7690301,5.329999923706055,50,NO,NO
5570,2,2018,7958203,5.050000190734863,100,NO,NO
5570,2,2017,8727527,4.949999809265137,80,NO,NO
5570,2,2018,10421600,5.099999904632568,90,NO,NO
5570,2,2018,11317294,5.130000114440918,90,NO,NO
5570,2,2018,11903870,5.079999923706055,100,NO,NO
5570,2,2017,12085773,5.03000020980835,70,NO,NO
5570,2,2017,13921150,5.449999809265137,40,NO,NO
5570,2,2017,15219860,5.349999904632568,50,NO,NO
5570,2,2018,16468096,5.179999828338623,90,NO,NO
5570,2,2017,16763239,5.050000190734863,70,NO,NO
5570,2,2017,17029688,5.480000019073486,40,NO,NO
5570,2,2017,20167033,6.179999828338623,10,SI,SI
5570,2,2017,21563740,5.130000114440918,60,NO,NO
1436,3,2017,23410041,5.730000019073486,40,NO,NO
5570,2,2016,80776,6.28000020980835,10,SI,SI
5570,2,2016,243435,6.03000020980835,20,NO,SI
5570,2,2016,622266,5.75,30,NO,SI
5570,2,2016,1721739,6.380000114440918,10,SI,SI
5570,2,2016,2125939,6.5,10,SI,SI
5570,2,2016,3243050,5.699999809265137,40,NO,NO
5570,2,2016,4134434,6.300000190734863,10,SI,SI
5570,2,2016,4448691,6.25,10,SI,SI
5570,2,2016,5239616,5.179999828338623,80,NO,NO
5570,2,2016,5719806,6.300000190734863,10,SI,SI
5570,2,2016,7034351,6.25,10,SI,SI
5570,2,2016,7204911,5.880000114440918,20,NO,SI
5570,2,2016,7890856,5.230000019073486,70,NO,NO
5570,2,2016,8015586,5.079999923706055,90,NO,NO
5570,2,2016,8630659,6.25,10,SI,SI
5570,2,2016,9242892,6,20,NO,SI
5570,2,2016,9280850,5.800000190734863,30,NO,SI
5570,2,2016,9805914,6.429999828338623,10,SI,SI
5570,2,2016,9876877,5.880000114440918,20,NO,SI
5570,2,2016,10561024,6.150000095367432,20,NO,SI
5570,2,2016,12078135,6.400000095367432,10,SI,SI
5570,2,2016,12280843,6.329999923706055,10,SI,SI
5570,2,2016,12798610,6.53000020980835,10,SI,SI
5570,2,2016,12867764,5.829999923706055,30,NO,SI
5570,2,2016,13006963,5.849999904632568,30,NO,SI
5570,2,2016,14314842,6.449999809265137,10,SI,SI
5570,2,2016,15065008,5.829999923706055,30,NO,SI
5570,2,2016,15591574,6.230000019073486,10,SI,SI
5570,2,2016,16384774,6.449999809265137,10,SI,SI
5570,2,2016,16819800,6.650000095367432,10,SI,SI
6348,2,2016,18633739,6.429999828338623,10,SI,SI
5570,2,2016,18953769,5.800000190734863,30,NO,SI
5570,2,2016,19346275,6.78000020980835,10,SI,SI
5570,2,2016,19712940,6.050000190734863,20,NO,SI
5570,2,2016,20231388,6.25,10,SI,SI
5570,2,2016,20329361,6.53000020980835,10,SI,SI
5570,2,2016,20825633,6.050000190734863,20,NO,SI
5570,2,2016,22008304,6.699999809265137,10,SI,SI
5570,2,2016,22674860,6.230000019073486,10,SI,SI
5570,2,2016,23921083,5.849999904632568,30,NO,SI
5570,2,2016,24835812,6.329999923706055,10,SI,SI
5570,2,2016,24976857,6.550000190734863,10,SI,SI
5570,2,2016,263693,5.650000095367432,40,NO,NO
5570,2,2016,501912,5.980000019073486,20,NO,SI
5570,2,2016,537875,5.730000019073486,30,NO,SI
5570,2,2016,932415,5.849999904632568,30,NO,SI
5570,2,2016,1057723,5.400000095367432,60,NO,NO
5570,2,2016,1966820,5.900000095367432,20,NO,SI
5570,2,2016,2434242,5.730000019073486,30,NO,SI
5570,2,2016,3728925,5.800000190734863,30,NO,SI
5570,2,2016,3763940,5.5,50,NO,NO
5570,2,2016,4349842,6.480000019073486,10,SI,SI
5570,2,2016,5177018,5.679999828338623,40,NO,NO
5570,2,2016,5517277,5.849999904632568,30,NO,SI
5570,2,2016,6139125,6.400000095367432,10,SI,SI
5570,2,2016,6468345,5.78000020980835,30,NO,SI
5570,2,2016,6535698,5.630000114440918,40,NO,NO
5570,2,2016,6624292,6.25,10,SI,SI
5570,2,2016,6773726,5.949999809265137,20,NO,SI
5570,2,2016,6861936,5.929999828338623,20,NO,SI
5570,2,2016,7011755,6.429999828338623,10,SI,SI
5570,2,2017,7274624,5.5,40,NO,NO
5570,2,2016,7507662,6.179999828338623,20,NO,SI
25895,3,2016,8531256,5.949999809265137,10,SI,SI
5570,2,2016,8664997,5.630000114440918,40,NO,NO
5570,2,2016,9686157,5.449999809265137,60,NO,NO
5570,2,2016,9733215,6.349999904632568,10,SI,SI
5570,2,2016,11629512,6.300000190734863,10,SI,SI
5570,2,2016,13288149,6.050000190734863,20,NO,SI
5570,2,2016,13401761,6.329999923706055,10,SI,SI
5570,2,2016,16014181,5.5,50,NO,NO
5570,2,2016,16574129,5.300000190734863,70,NO,NO
5570,2,2016,17296492,6.099999904632568,20,NO,SI
5570,2,2016,17800987,5.929999828338623,20,NO,SI
5570,2,2016,18060323,6,20,NO,SI
5570,2,2016,18681442,5.679999828338623,40,NO,NO
5570,2,2016,19197167,6.449999809265137,10,SI,SI
5570,2,2016,19321566,6.329999923706055,10,SI,SI
5570,2,2016,19880868,6.050000190734863,20,NO,SI
5570,2,2016,20679911,5.699999809265137,40,NO,NO
5570,2,2016,24317260,6.449999809265137,10,SI,SI
5570,2,2016,72534,5.679999828338623,40,NO,NO
5570,2,2016,163965,6.079999923706055,20,NO,SI
5570,2,2016,572224,5.599999904632568,40,NO,NO
5570,2,2016,1361418,5.480000019073486,50,NO,NO
5570,2,2016,2179344,6.150000095367432,20,NO,SI
5570,2,2016,2221388,6.079999923706055,20,NO,SI
5570,2,2016,2602534,6.050000190734863,20,NO,SI
5570,2,2016,2883117,5.829999923706055,30,NO,SI
5570,2,2016,4725410,5.880000114440918,20,NO,SI
5570,2,2017,5345144,4.929999828338623,80,NO,NO
5570,2,2016,8440362,5.400000095367432,60,NO,NO
5570,2,2016,8959099,5.349999904632568,60,NO,NO
5570,2,2016,9075987,5.949999809265137,20,NO,SI
5570,2,2016,9431239,5.550000190734863,50,NO,NO
5570,2,2016,9441163,5.199999809265137,80,NO,NO
5570,2,2016,11892216,5.699999809265137,40,NO,NO
5570,2,2016,12011748,6.349999904632568,10,SI,SI
5570,2,2016,12820071,5.329999923706055,70,NO,NO
5570,2,2016,13350529,6.150000095367432,20,NO,SI
5570,2,2016,13546043,5.949999809265137,20,NO,SI
5570,2,2016,14650784,6.199999809265137,10,SI,SI
5570,2,2016,15166023,5.980000019073486,20,NO,SI
5570,2,2016,15388283,6.429999828338623,10,SI,SI
5570,2,2016,15856878,6.329999923706055,10,SI,SI
