RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
20012,3,2020,3803633,5.329999923706055,60,NO,NO
20176,3,2020,6662692,6,10,SI,NO
31375,3,2020,9372728,5.429999828338623,30,NO,SI
20244,3,2020,9737759,5.630000114440918,50,NO,NO
20176,3,2020,13193659,5.070000171661377,90,NO,NO
20176,3,2020,13451343,5.429999828338623,60,NO,NO
20176,3,2020,18445200,5.570000171661377,40,NO,NO
20176,3,2020,19773669,6,10,SI,NO
20176,3,2020,20501146,5.170000076293945,80,NO,NO
20176,3,2019,2232555,5.369999885559082,60,NO,NO
20176,3,2019,5282358,5.869999885559082,10,SI,NO
20044,3,2019,5464704,5.070000171661377,70,NO,NO
20176,3,2019,7341435,5.050000190734863,90,NO,NO
20231,4,2019,8766030,6.579999923706055,10,SI,NO
20063,3,2019,8801474,5.329999923706055,50,NO,NO
20214,3,2019,9716410,4.869999885559082,90,NO,NO
20063,3,2019,12135122,5.670000076293945,20,NO,SI
20214,3,2019,15018482,5.5,40,NO,NO
20498,3,2019,19964388,6.099999904632568,30,NO,SI
8474,2,2019,21394646,5.849999904632568,10,SI,NO
20176,3,2019,22909322,5.869999885559082,10,SI,NO
20176,3,2019,23947726,6.300000190734863,10,SI,NO
5613,2,2018,1116259,4.900000095367432,60,NO,NO
20231,4,2018,2248455,5.630000114440918,60,NO,NO
20214,3,2018,4037706,5.300000190734863,50,NO,NO
20231,4,2018,4412722,5.099999904632568,100,NO,NO
20044,3,2018,6102661,4.630000114440918,100,NO,NO
20176,3,2018,10303187,4.599999904632568,100,NO,NO
20261,3,2018,10385256,5.269999980926514,40,NO,NO
20231,4,2018,13763753,5.400000095367432,90,NO,NO
20063,3,2018,14464291,5.75,20,NO,SI
22466,3,2018,14793820,5.480000019073486,30,NO,SI
5394,2,2018,15900567,5.769999980926514,20,NO,SI
20176,3,2018,17023503,4.730000019073486,90,NO,NO
20231,4,2018,17161194,5.800000190734863,40,NO,NO
20176,3,2018,23207042,5.150000095367432,70,NO,NO
20231,4,2017,364615,6.070000171661377,10,NO,SI
5620,2,2017,417930,5.599999904632568,20,NO,SI
20231,4,2017,4076087,5.449999809265137,50,NO,NO
20063,3,2017,7749498,5.849999904632568,10,SI,SI
20231,4,2017,9495648,5.670000076293945,40,NO,NO
20231,4,2017,11720959,5.869999885559082,20,NO,SI
20231,4,2017,15204632,5.099999904632568,90,NO,NO
20176,3,2017,16938303,5.269999980926514,60,NO,NO
8474,2,2017,18811947,5.5,40,NO,NO
20063,3,2017,21195421,5.400000095367432,30,NO,SI
8474,2,2017,23905508,5.230000019073486,80,NO,NO
20176,3,2015,64930,5.849999904632568,20,NO,SI
20270,3,2016,214857,5.300000190734863,40,NO,NO
78,2,2014,437156,5.900000095367432,10,NO,SI
20176,3,2011,526897,5.699999809265137,10,NO,SI
20063,3,2015,590231,4.699999809265137,90,NO,NO
20211,3,2013,797002,5.429999828338623,30,NO,SI
20063,3,2012,1059524,5.300000190734863,40,NO,NO
20063,3,2008,1543367,5.170000076293945,20,NO,SI
20176,3,2015,1712568,5.099999904632568,70,NO,NO
25818,3,2016,1728273,5.869999885559082,10,SI,SI
20176,3,2010,1774271,5.130000114440918,50,NO,NO
20044,3,2013,2072368,5.329999923706055,40,NO,NO
20063,3,2015,2239966,5.630000114440918,30,NO,SI
20176,3,2016,2394637,5.670000076293945,20,NO,SI
31124,3,2016,2450674,5.400000095367432,30,NO,SI
20231,4,2016,3350399,6.050000190734863,40,NO,NO
20063,3,2009,3405316,5.599999904632568,10,NO,SI
19982,3,2009,3615344,5.599999904632568,20,NO,SI
