RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
5814,10711726,2004,joven,0,0,0,0
5814,12381218,2004,joven,0,0,0,0
5814,14450120,2004,joven,0,0,0,0
5814,15994390,2004,joven,0,0,0,0
5814,18296136,2004,joven,0,0,0,0
5814,18829723,2004,joven,0,0,0,0
5814,23080715,2004,joven,0,0,0,0
5814,228476,2005,joven,0,0,0,0
5814,690707,2005,joven,0,0,0,0
5814,1123465,2005,joven,0,0,0,0
5814,1252488,2005,joven,0,0,0,0
5814,1692183,2005,joven,0,0,0,0
5814,2201786,2005,joven,0,0,0,0
5814,2313735,2005,joven,0,0,0,0
5814,2623840,2005,joven,0,0,0,0
5814,2769061,2005,joven,0,0,0,0
5814,3345889,2005,joven,0,0,0,0
5814,3834023,2005,joven,0,0,0,0
5814,3911149,2005,joven,0,0,0,0
5814,4509457,2005,joven,0,0,0,0
5814,4532290,2005,joven,0,0,0,0
5814,4978591,2005,joven,0,0,0,0
5814,5149107,2005,joven,0,0,0,0
5814,5225712,2005,joven,0,0,0,0
5814,5294200,2005,joven,0,0,0,0
5814,5439579,2005,joven,0,0,0,0
5814,5856752,2005,joven,0,0,0,0
5814,6550146,2005,joven,0,0,0,0
5814,6708271,2005,joven,0,0,0,0
5814,6766556,2005,joven,0,0,0,0
5814,6941387,2005,joven,0,0,0,0
5814,7429854,2005,joven,0,0,0,0
5814,7458328,2005,joven,0,0,0,0
5814,8076157,2005,joven,0,0,0,0
5814,9005030,2005,joven,0,0,0,0
5814,9436601,2005,joven,0,0,0,0
5814,9455998,2005,joven,0,0,0,0
5814,9696573,2005,joven,0,0,0,0
5814,10230428,2005,joven,0,0,0,0
5814,10837527,2005,joven,0,0,0,0
5814,11270492,2005,joven,0,0,0,0
5814,11305973,2005,joven,0,0,0,0
5814,11500833,2005,joven,0,0,0,0
5814,11590033,2005,joven,0,0,0,0
5814,11702778,2005,joven,0,0,0,0
5814,11718211,2005,joven,0,0,0,0
5814,11804384,2005,joven,0,0,0,0
5814,11874111,2005,joven,0,0,0,0
5814,11889986,2005,joven,0,0,0,0
5814,11905916,2005,joven,0,0,0,0
5814,12338619,2005,joven,0,0,0,0
5814,12606177,2005,joven,0,0,0,0
5814,12697573,2005,joven,0,0,0,0
5814,13071269,2005,joven,0,0,0,0
5814,13159319,2005,joven,0,0,0,0
5814,14589483,2005,joven,0,0,0,0
5814,15728555,2005,joven,0,0,0,0
5814,15783923,2005,joven,0,0,0,0
5814,16216744,2005,joven,0,0,0,0
5814,16589788,2005,joven,0,0,0,0
5814,17058153,2005,joven,0,0,0,0
5814,17087105,2005,joven,0,0,0,0
5814,17685945,2005,joven,0,0,0,0
5814,17769360,2005,joven,0,0,0,0
5814,18104363,2005,joven,0,0,0,0
5814,18245920,2005,joven,0,0,0,0
5814,19008844,2005,joven,0,0,0,0
5814,19280689,2005,joven,0,0,0,0
5814,19344389,2005,joven,0,0,0,0
5814,19740833,2005,joven,0,0,0,0
5814,20161916,2005,joven,0,0,0,0
5814,20267794,2005,joven,0,0,0,0
5814,20450422,2005,joven,0,0,0,0
5814,21047728,2005,joven,0,0,0,0
5814,21086524,2005,joven,0,0,0,0
5814,21561953,2005,joven,0,0,0,0
5814,21951579,2005,joven,0,0,0,0
5814,22772852,2005,joven,0,0,0,0
5814,23033041,2005,joven,0,0,0,0
5814,24589344,2005,joven,0,0,0,0
5814,24677384,2005,joven,0,0,0,0
5814,24836502,2005,joven,0,0,0,0
5814,24976682,2005,joven,0,0,0,0
5814,1046983,2006,joven,0,0,0,0
5814,1198435,2006,joven,0,0,0,0
5814,1206063,2006,joven,0,0,0,0
5814,1486690,2006,joven,0,0,0,0
5814,1545704,2006,joven,0,0,0,0
5814,1731871,2006,joven,0,0,0,0
5814,1825701,2006,joven,0,0,0,0
5814,1898360,2006,joven,0,0,0,0
5814,2087462,2006,joven,0,0,0,0
5814,2561823,2006,joven,0,0,0,0
5814,2579399,2006,joven,0,0,0,0
5814,3173568,2006,joven,0,0,0,0
5814,3415275,2006,joven,0,0,0,0
5814,3718769,2006,joven,0,0,0,0
5814,4022508,2006,joven,0,0,0,0
5814,4343862,2006,joven,0,0,0,0
5814,5191286,2006,joven,0,0,0,0
5814,5292343,2006,joven,0,0,0,0
5814,5340987,2006,joven,0,0,0,0
5814,5540685,2006,joven,0,0,0,0
5814,6716010,2006,joven,0,0,0,0
5814,6733597,2006,joven,0,0,0,0
5814,6841354,2006,joven,0,0,0,0
5814,7367953,2006,joven,0,0,0,0
5814,7443630,2006,joven,0,0,0,0
5814,7536052,2006,joven,0,0,0,0
