RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
8499,2,2018,624031,5.75,30,NO,SI
8499,2,2018,964397,5.730000019073486,30,NO,SI
8499,2,2018,3465096,5.829999923706055,30,NO,SI
8499,2,2019,4904140,5.349999904632568,80,NO,NO
8499,2,2018,4907354,6.449999809265137,10,SI,NO
8499,2,2018,5020249,6.03000020980835,20,NO,SI
8499,2,2018,5656048,5.400000095367432,60,NO,NO
8499,2,2018,6272860,5.480000019073486,60,NO,NO
8499,2,2018,7695918,5.230000019073486,90,NO,NO
26033,3,2019,9195397,5.349999904632568,70,NO,NO
8499,2,2018,9285431,5.550000190734863,50,NO,NO
8495,2,2019,9357417,5.099999904632568,90,NO,NO
24638,2,2018,9535378,5.28000020980835,80,NO,NO
8501,2,2019,9974167,5.349999904632568,90,NO,NO
10432,1,2019,10342255,5.199999809265137,70,NO,NO
8485,2,2018,13901264,5.699999809265137,80,NO,NO
8697,3,2018,14368280,5.03000020980835,100,NO,NO
8499,2,2018,14967351,5.429999828338623,60,NO,NO
8499,2,2018,15373440,5.829999923706055,30,NO,SI
9074,1,2018,17387119,5.429999828338623,60,NO,NO
8499,2,2018,17757960,6.099999904632568,10,SI,NO
8499,2,2018,18782140,5.929999828338623,20,NO,SI
8499,2,2018,19606923,6,20,NO,SI
8499,2,2018,19919665,6.349999904632568,10,SI,NO
8500,2,2019,22260793,5.349999904632568,40,NO,NO
8499,2,2018,22894837,6.25,10,SI,NO
8499,2,2018,24985182,5.800000190734863,30,NO,SI
8499,2,2018,837913,5.929999828338623,20,NO,SI
8499,2,2018,1372070,5.380000114440918,70,NO,NO
8499,2,2018,2103353,5.78000020980835,30,NO,SI
8508,2,2018,3821687,5.599999904632568,30,NO,SI
8499,2,2018,3864598,5.730000019073486,30,NO,SI
8499,2,2018,3878527,5.599999904632568,40,NO,NO
8499,2,2018,4269257,5.550000190734863,50,NO,NO
8499,2,2018,4471589,5.630000114440918,40,NO,NO
8499,2,2018,5197718,5.730000019073486,30,NO,SI
8499,2,2018,5501868,5.949999809265137,20,NO,SI
31037,1,2018,6279921,5.730000019073486,50,NO,NO
8499,2,2018,6358970,5.880000114440918,20,NO,SI
8499,2,2018,7484099,5.679999828338623,40,NO,NO
8499,2,2018,7760510,5.880000114440918,20,NO,SI
9799,3,2018,8198407,5.630000114440918,30,NO,SI
8499,2,2018,8406148,5.429999828338623,60,NO,NO
8499,2,2018,9691584,6.150000095367432,10,SI,NO
9981,5,2018,10648414,5.980000019073486,20,NO,SI
8499,2,2018,12043379,6.179999828338623,10,SI,NO
8499,2,2018,12499126,5.949999809265137,20,NO,SI
8499,2,2018,12945893,5.349999904632568,70,NO,NO
25127,4,2018,13599342,5.880000114440918,70,NO,NO
8499,2,2018,14462446,5.380000114440918,70,NO,NO
8499,2,2018,14630934,4.800000190734863,100,NO,NO
8499,2,2018,15470581,5.130000114440918,100,NO,NO
8499,2,2018,17824336,6.079999923706055,10,SI,NO
2973,2,2018,18205545,6.550000190734863,10,SI,NO
8499,2,2018,18816843,5.5,50,NO,NO
8499,2,2019,19078789,5.25,90,NO,NO
8499,2,2018,20886584,5.630000114440918,40,NO,NO
8499,2,2018,21027395,6.28000020980835,10,SI,NO
8499,2,2018,21904172,5.699999809265137,40,NO,NO
8499,2,2019,23072784,5.630000114440918,50,NO,NO
8499,2,2018,23801247,5.800000190734863,30,NO,SI
8499,2,2019,24751231,5.429999828338623,70,NO,NO
