RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
8485,267353,2004,joven,0,0,0,0
8485,1398407,2004,joven,0,0,0,0
8485,2605757,2004,joven,0,0,0,0
8485,3447766,2004,joven,0,0,0,0
8485,5147460,2004,joven,0,0,0,0
8485,6204684,2004,joven,0,0,0,0
8485,6942969,2004,joven,0,0,0,0
8485,7266081,2004,joven,0,0,0,0
8485,7902124,2004,joven,0,0,0,0
8485,11017470,2004,joven,0,0,0,0
8485,12249219,2004,joven,0,0,0,0
8485,13893462,2004,joven,0,0,0,0
8485,15088381,2004,joven,0,0,0,0
8485,15515917,2004,joven,0,0,0,0
8485,15595712,2004,joven,0,0,0,0
8485,15935322,2004,joven,0,0,0,0
8485,17035728,2004,joven,0,0,0,0
8485,17733571,2004,joven,0,0,0,0
8485,20895723,2004,joven,0,0,0,0
8485,20970900,2004,joven,0,0,0,0
8485,24416876,2004,joven,0,0,0,0
8485,24586907,2004,joven,0,0,0,0
8485,80608,2005,joven,0,0,0,0
8485,100899,2005,joven,0,0,0,0
8485,153367,2005,joven,0,0,0,0
8485,263424,2005,joven,0,0,0,0
8485,291717,2005,joven,0,0,0,0
8485,325543,2005,joven,0,0,0,0
8485,344930,2005,joven,0,0,0,0
8485,393426,2005,joven,0,0,0,0
8485,396879,2005,joven,0,0,0,0
8485,399924,2005,joven,0,0,0,0
8485,445551,2005,joven,0,0,0,0
8485,540112,2005,joven,0,0,0,0
8485,556056,2005,joven,0,0,0,0
8485,561687,2005,joven,0,0,0,0
8485,583278,2005,joven,0,0,0,0
8485,644439,2005,joven,0,0,0,0
8485,685458,2005,joven,0,0,0,0
8485,709918,2005,joven,0,0,0,0
8485,713506,2005,joven,0,0,0,0
8485,730636,2005,joven,0,0,0,0
8485,751092,2005,joven,0,0,0,0
8485,848384,2005,joven,0,0,0,0
8485,866436,2005,joven,0,0,0,0
8485,866459,2005,joven,0,0,0,0
8485,878912,2005,joven,0,0,0,0
8485,1058588,2005,joven,0,0,0,0
8485,1061397,2005,joven,0,0,0,0
8485,1097255,2005,joven,0,0,0,0
8485,1127198,2005,joven,0,0,0,0
8485,1176419,2005,joven,0,0,0,0
8485,1183507,2005,joven,0,0,0,0
8485,1194535,2005,joven,0,0,0,0
8485,1223061,2005,joven,0,0,0,0
8485,1234982,2005,joven,0,0,0,0
8485,1242214,2005,joven,0,0,0,0
8485,1270353,2005,joven,0,0,0,0
8485,1277675,2005,joven,0,0,0,0
8485,1293819,2005,joven,0,0,0,0
8485,1303161,2005,joven,0,0,0,0
8485,1329455,2005,joven,0,0,0,0
8485,1393620,2005,joven,0,0,0,0
8485,1478460,2005,joven,0,0,0,0
8485,1512707,2005,joven,0,0,0,0
8485,1525821,2005,joven,0,0,0,0
8485,1531072,2005,joven,0,0,0,0
8485,1564694,2005,joven,0,0,0,0
8485,1652711,2005,joven,0,0,0,0
8485,1668602,2005,joven,0,0,0,0
8485,1751432,2005,joven,0,0,0,0
8485,1776228,2005,joven,0,0,0,0
8485,1857737,2005,joven,0,0,0,0
8485,1869535,2005,joven,0,0,0,0
8485,1884748,2005,joven,0,0,0,0
8485,1891543,2005,joven,0,0,0,0
8485,1969073,2005,joven,0,0,0,0
8485,2038484,2005,joven,0,0,0,0
8485,2113154,2005,joven,0,0,0,0
8485,2137989,2005,joven,0,0,0,0
8485,2170219,2005,joven,0,0,0,0
8485,2178926,2005,joven,0,0,0,0
8485,2312987,2005,joven,0,0,0,0
8485,2362192,2005,joven,0,0,0,0
8485,2378167,2005,joven,0,0,0,0
8485,2380315,2005,joven,0,0,0,0
8485,2411557,2005,joven,0,0,0,0
8485,2478117,2005,joven,0,0,0,0
8485,2481823,2005,joven,0,0,0,0
8485,2550332,2005,joven,0,0,0,0
8485,2672465,2005,joven,0,0,0,0
8485,2737429,2005,joven,0,0,0,0
