RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
8927,2167656,2004,joven,0,0,0,0
8927,2427251,2004,joven,0,0,0,0
8927,3302322,2004,joven,0,0,0,0
8927,4058046,2004,joven,0,0,0,0
8927,4779074,2004,joven,0,0,0,0
8927,7716524,2004,joven,0,0,0,0
8927,8527387,2004,joven,0,0,0,0
8927,9165639,2004,joven,0,0,0,0
8927,12251339,2004,joven,0,0,0,0
8927,21631192,2004,joven,0,0,0,0
8927,3844,2005,joven,0,0,0,0
8927,41934,2005,joven,0,0,0,0
8927,44972,2005,joven,0,0,0,0
8927,84982,2005,joven,0,0,0,0
8927,102935,2005,joven,0,0,0,0
8927,243681,2005,joven,0,0,0,0
8927,310833,2005,joven,0,0,0,0
8927,674281,2005,joven,0,0,0,0
8927,809977,2005,joven,0,0,0,0
8927,863521,2005,joven,0,0,0,0
8927,890075,2005,joven,0,0,0,0
8927,929929,2005,joven,0,0,0,0
8927,939856,2005,joven,0,0,0,0
8927,1038367,2005,joven,0,0,0,0
8927,1051102,2005,joven,0,0,0,0
8927,1100943,2005,joven,0,0,0,0
8927,1104418,2005,joven,0,0,0,0
8927,1191879,2005,joven,0,0,0,0
8927,1203653,2005,joven,0,0,0,0
8927,1213733,2005,joven,0,0,0,0
8927,1283176,2005,joven,0,0,0,0
8927,1316300,2005,joven,0,0,0,0
8927,1360971,2005,joven,0,0,0,0
8927,1458579,2005,joven,0,0,0,0
8927,1484936,2005,joven,0,0,0,0
8927,1649372,2005,joven,0,0,0,0
8927,1657649,2005,joven,0,0,0,0
8927,1733030,2005,joven,0,0,0,0
8927,1801313,2005,joven,0,0,0,0
8927,1837095,2005,joven,0,0,0,0
8927,2066014,2005,joven,0,0,0,0
8927,2128742,2005,joven,0,0,0,0
8927,2244743,2005,joven,0,0,0,0
8927,2244825,2005,joven,0,0,0,0
8927,2277990,2005,joven,0,0,0,0
8927,2280236,2005,joven,0,0,0,0
8927,2295175,2005,joven,0,0,0,0
8927,2310192,2005,joven,0,0,0,0
8927,2339232,2005,joven,0,0,0,0
8927,2632596,2005,joven,0,0,0,0
8927,2727980,2005,joven,0,0,0,0
8927,2761121,2005,joven,0,0,0,0
8927,2795114,2005,joven,0,0,0,0
8927,2893352,2005,joven,0,0,0,0
8927,2913557,2005,joven,0,0,0,0
8927,2916308,2005,joven,0,0,0,0
8927,2927009,2005,joven,0,0,0,0
8927,3177749,2005,joven,0,0,0,0
8927,3261639,2005,joven,0,0,0,0
8927,3276707,2005,joven,0,0,0,0
8927,3634837,2005,joven,0,0,0,0
8927,3870073,2005,joven,0,0,0,0
8927,4029655,2005,joven,0,0,0,0
8927,4134104,2005,joven,0,0,0,0
8927,4137721,2005,joven,0,0,0,0
8927,4152140,2005,joven,0,0,0,0
8927,4281133,2005,joven,0,0,0,0
8927,4401757,2005,joven,0,0,0,0
8927,4419534,2005,joven,0,0,0,0
8927,4428322,2005,joven,0,0,0,0
8927,4458154,2005,joven,0,0,0,0
8927,4608481,2005,joven,0,0,0,0
8927,4621459,2005,joven,0,0,0,0
8927,4698689,2005,joven,0,0,0,0
8927,4873865,2005,joven,0,0,0,0
8927,4915149,2005,joven,0,0,0,0
8927,4970443,2005,joven,0,0,0,0
8927,4978433,2005,joven,0,0,0,0
8927,5133582,2005,joven,0,0,0,0
8927,5137456,2005,joven,0,0,0,0
8927,5188529,2005,joven,0,0,0,0
8927,5594012,2005,joven,0,0,0,0
8927,5600668,2005,joven,0,0,0,0
8927,5723787,2005,joven,0,0,0,0
8927,5852516,2005,joven,0,0,0,0
8927,5989281,2005,joven,0,0,0,0
8927,5993327,2005,joven,0,0,0,0
8927,6008517,2005,joven,0,0,0,0
8927,6049590,2005,joven,0,0,0,0
8927,6118010,2005,joven,0,0,0,0
8927,6157030,2005,joven,0,0,0,0
8927,6170353,2005,joven,0,0,0,0
8927,6293622,2005,joven,0,0,0,0
8927,6318264,2005,joven,0,0,0,0
8927,6415812,2005,joven,0,0,0,0
8927,6499886,2005,joven,0,0,0,0
8927,6596700,2005,joven,0,0,0,0
8927,6615302,2005,joven,0,0,0,0
8927,6634461,2005,joven,0,0,0,0
8927,6734504,2005,joven,0,0,0,0
8927,6769598,2005,joven,0,0,0,0
8927,6797033,2005,joven,0,0,0,0
8927,6800038,2005,joven,0,0,0,0
8927,6967109,2005,joven,0,0,0,0
8927,7028595,2005,joven,0,0,0,0
8927,7074144,2005,joven,0,0,0,0
8927,7086360,2005,joven,0,0,0,0
8927,7137303,2005,joven,0,0,0,0
8927,7162075,2005,joven,0,0,0,0
8927,7177790,2005,joven,0,0,0,0
8927,7195373,2005,joven,0,0,0,0
