RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
8761,15373542,2004,joven,0,0,0,0
8761,16087094,2004,joven,0,0,0,0
8761,17771847,2004,joven,0,0,0,0
8761,24840134,2004,joven,0,0,0,0
8761,860925,2005,joven,0,0,0,0
8761,1191724,2005,joven,0,0,0,0
8761,1317120,2005,joven,0,0,0,0
8761,1412934,2005,joven,0,0,0,0
8761,1647349,2005,joven,0,0,0,0
8761,1736331,2005,joven,0,0,0,0
8761,2276051,2005,joven,0,0,0,0
8761,2387329,2005,joven,0,0,0,0
8761,2518617,2005,joven,0,0,0,0
8761,2727936,2005,joven,0,0,0,0
8761,2900735,2005,joven,0,0,0,0
8761,3150811,2005,joven,0,0,0,0
8761,3681803,2005,joven,0,0,0,0
8761,3683495,2005,joven,0,0,0,0
8761,4206438,2005,joven,0,0,0,0
8761,4467199,2005,joven,0,0,0,0
8761,4548073,2005,joven,0,0,0,0
8761,4873394,2005,joven,0,0,0,0
8761,5322941,2005,joven,0,0,0,0
8761,5706477,2005,joven,0,0,0,0
8761,6675865,2005,joven,0,0,0,0
8761,7084381,2005,joven,0,0,0,0
8761,7092019,2005,joven,0,0,0,0
8761,7366707,2005,joven,0,0,0,0
8761,7774414,2005,joven,0,0,0,0
8761,7800050,2005,joven,0,0,0,0
8761,8778415,2005,joven,0,0,0,0
8761,8949548,2005,joven,0,0,0,0
8761,8953281,2005,joven,0,0,0,0
8761,9063058,2005,joven,0,0,0,0
8761,10353306,2005,joven,0,0,0,0
8761,10525137,2005,joven,0,0,0,0
8761,10526017,2005,joven,0,0,0,0
8761,10667287,2005,joven,0,0,0,0
8761,10707873,2005,joven,0,0,0,0
8761,10925193,2005,joven,0,0,0,0
8761,11274748,2005,joven,0,0,0,0
8761,11793715,2005,joven,0,0,0,0
8761,11896918,2005,joven,0,0,0,0
8761,12614047,2005,joven,0,0,0,0
8761,12782941,2005,joven,0,0,0,0
8761,13687037,2005,joven,0,0,0,0
8761,13757147,2005,joven,0,0,0,0
8761,14363858,2005,joven,0,0,0,0
8761,14381335,2005,joven,0,0,0,0
8761,14709996,2005,joven,0,0,0,0
8761,14719576,2005,joven,0,0,0,0
8761,14722683,2005,joven,0,0,0,0
8761,15067954,2005,joven,0,0,0,0
8761,15962508,2005,joven,0,0,0,0
8761,15971234,2005,joven,0,0,0,0
8761,15976046,2005,joven,0,0,0,0
8761,16657440,2005,joven,0,0,0,0
8761,16707614,2005,joven,0,0,0,0
8761,16799458,2005,joven,0,0,0,0
8761,17137888,2005,joven,0,0,0,0
8761,17513435,2005,joven,0,0,0,0
8761,17554063,2005,joven,0,0,0,0
8761,17557272,2005,joven,0,0,0,0
8761,17967493,2005,joven,0,0,0,0
8761,18463979,2005,joven,0,0,0,0
8761,18516940,2005,joven,0,0,0,0
8761,18764280,2005,joven,0,0,0,0
8761,18800603,2005,joven,0,0,0,0
8761,19028494,2005,joven,0,0,0,0
