RBD,MRUN,AGNO_EGRESO,TIPO,PRIORITARIO_ALU,PREFERENTE_ALU,CRITERIO_SEP,BEN_SEP
5812,12965168,2004,joven,0,0,0,0
5812,1827650,2005,joven,0,0,0,0
5812,2624673,2005,joven,0,0,0,0
5812,2735417,2005,joven,0,0,0,0
5812,4066382,2005,joven,0,0,0,0
5812,4502213,2005,joven,0,0,0,0
5812,4573323,2005,joven,0,0,0,0
5812,5130838,2005,joven,0,0,0,0
5812,6217283,2005,joven,0,0,0,0
5812,7062119,2005,joven,0,0,0,0
5812,7453839,2005,joven,0,0,0,0
5812,8131830,2005,joven,0,0,0,0
5812,8626077,2005,joven,0,0,0,0
5812,9147795,2005,joven,0,0,0,0
5812,9603183,2005,joven,0,0,0,0
5812,9854508,2005,joven,0,0,0,0
5812,10192128,2005,joven,0,0,0,0
5812,11312803,2005,joven,0,0,0,0
5812,11762843,2005,joven,0,0,0,0
5812,12040112,2005,joven,0,0,0,0
5812,12217029,2005,joven,0,0,0,0
5812,12400875,2005,joven,0,0,0,0
5812,12691023,2005,joven,0,0,0,0
5812,13690974,2005,joven,0,0,0,0
5812,13796142,2005,joven,0,0,0,0
5812,14847525,2005,joven,0,0,0,0
5812,15463470,2005,joven,0,0,0,0
5812,16117047,2005,joven,0,0,0,0
5812,16161880,2005,joven,0,0,0,0
5812,16505454,2005,joven,0,0,0,0
5812,16800068,2005,joven,0,0,0,0
5812,16880886,2005,joven,0,0,0,0
5812,17670013,2005,joven,0,0,0,0
5812,18398797,2005,joven,0,0,0,0
5812,18930762,2005,joven,0,0,0,0
5812,19672292,2005,joven,0,0,0,0
5812,21594936,2005,joven,0,0,0,0
5812,21784950,2005,joven,0,0,0,0
5812,21975684,2005,joven,0,0,0,0
5812,22802503,2005,joven,0,0,0,0
5812,23390809,2005,joven,0,0,0,0
5812,24111311,2005,joven,0,0,0,0
5812,24273859,2005,joven,0,0,0,0
5812,24439787,2005,joven,0,0,0,0
5812,858739,2006,joven,0,0,0,0
5812,1009350,2006,joven,0,0,0,0
5812,1085319,2006,joven,0,0,0,0
5812,2663540,2006,joven,0,0,0,0
5812,3259372,2006,joven,0,0,0,0
5812,4539444,2006,joven,0,0,0,0
5812,5440407,2006,joven,0,0,0,0
5812,5763646,2006,joven,0,0,0,0
5812,5924435,2006,joven,0,0,0,0
5812,7026092,2006,joven,0,0,0,0
5812,7445251,2006,joven,0,0,0,0
5812,8065613,2006,joven,0,0,0,0
5812,8653908,2006,joven,0,0,0,0
5812,8687756,2006,joven,0,0,0,0
5812,8981749,2006,joven,0,0,0,0
5812,10017410,2006,joven,0,0,0,0
5812,10163778,2006,joven,0,0,0,0
5812,11119707,2006,joven,0,0,0,0
5812,11184221,2006,joven,0,0,0,0
5812,11945008,2006,joven,0,0,0,0
5812,12690952,2006,joven,0,0,0,0
5812,13159087,2006,joven,0,0,0,0
5812,14615051,2006,joven,0,0,0,0
5812,15382880,2006,joven,0,0,0,0
5812,15625901,2006,joven,0,0,0,0
5812,17086775,2006,joven,0,0,0,0
5812,17446718,2006,joven,0,0,0,0
5812,17470350,2006,joven,0,0,0,0
5812,17503958,2006,joven,0,0,0,0
5812,17605337,2006,joven,0,0,0,0
5812,17779607,2006,joven,0,0,0,0
5812,17779608,2006,joven,0,0,0,0
5812,18847401,2006,joven,0,0,0,0
5812,18939250,2006,joven,0,0,0,0
5812,20384966,2006,joven,0,0,0,0
5812,21152713,2006,joven,0,0,0,0
5812,21212492,2006,joven,0,0,0,0
5812,21658545,2006,joven,0,0,0,0
5812,22835827,2006,joven,0,0,0,0
5812,22845250,2006,joven,0,0,0,0
5812,23459040,2006,joven,0,0,0,0
5812,23487670,2006,joven,0,0,0,0
5812,23671751,2006,joven,0,0,0,0
5812,24446779,2006,joven,0,0,0,0
5812,324996,2007,joven,0,0,0,0
5812,946761,2007,joven,0,0,0,0
5812,1803094,2007,joven,0,0,0,0
5812,2104653,2007,joven,0,0,0,0
5812,2307747,2007,joven,0,0,0,0
5812,3349142,2007,joven,0,0,0,0
5812,3913529,2007,joven,0,0,0,0
5812,6868595,2007,joven,0,0,0,0
5812,6922703,2007,joven,0,0,0,0
5812,6930822,2007,joven,0,0,0,0
5812,7427995,2007,joven,0,0,0,0
5812,7513500,2007,joven,0,0,0,0
5812,7760356,2007,joven,0,0,0,0
5812,8234719,2007,joven,0,0,0,0
5812,9306264,2007,joven,0,0,0,0
5812,10015779,2007,joven,0,0,0,0
5812,10018125,2007,joven,0,0,0,0
5812,10088395,2007,joven,0,0,0,0
5812,10106341,2007,joven,0,0,0,0
5812,11697534,2007,joven,0,0,0,0
5812,11700900,2007,joven,0,0,0,0
5812,12076024,2007,joven,0,0,0,0
5812,12684118,2007,joven,0,0,0,0
5812,12860332,2007,joven,0,0,0,0
5812,13292638,2007,joven,0,0,0,0
5812,13763921,2007,joven,0,0,0,0
5812,15471966,2007,joven,0,0,0,0
5812,15714151,2007,joven,0,0,0,0
5812,16453486,2007,joven,0,0,0,0
5812,16592476,2007,joven,0,0,0,0
5812,16757031,2007,joven,0,0,0,0
5812,17042708,2007,joven,0,0,0,0
5812,17173881,2007,joven,0,0,0,0
5812,17473669,2007,joven,0,0,0,0
5812,17660669,2007,joven,0,0,0,0
5812,18469104,2007,joven,0,0,0,0
5812,18817628,2007,joven,0,0,0,0
5812,18945632,2007,joven,0,0,0,0
5812,18949157,2007,joven,0,0,0,0
5812,19090924,2007,joven,0,0,0,0
5812,19442029,2007,joven,0,0,0,0
5812,19770110,2007,joven,0,0,0,0
5812,19986265,2007,joven,0,0,0,0
5812,20038715,2007,joven,0,0,0,0
5812,20366796,2007,joven,0,0,0,0
5812,20871301,2007,joven,0,0,0,0
5812,21674286,2007,joven,0,0,0,0
5812,22635329,2007,joven,0,0,0,0
5812,22742707,2007,joven,0,0,0,0
5812,22815030,2007,joven,0,0,0,0
5812,24444880,2007,joven,0,0,0,0
5812,351629,2008,joven,0,0,0,0
5812,852095,2008,joven,0,0,0,0
5812,1024608,2008,joven,0,0,0,0
5812,1140450,2008,joven,0,0,0,0
5812,1307513,2008,joven,0,0,0,0
5812,2482853,2008,joven,0,0,0,0
5812,3328725,2008,joven,0,0,0,0
5812,3708847,2008,joven,0,0,0,0
5812,3711616,2008,joven,0,0,0,0
5812,3735591,2008,joven,0,0,0,0
5812,4229869,2008,joven,0,0,0,0
5812,4763156,2008,joven,0,0,0,0
5812,6860201,2008,joven,0,0,0,0
5812,8243417,2008,joven,0,0,0,0
5812,8738539,2008,joven,0,0,0,0
5812,9053018,2008,joven,0,0,0,0
5812,9217040,2008,joven,0,0,0,0
5812,9772796,2008,joven,0,0,0,0
5812,9958965,2008,joven,0,0,0,0
5812,9997249,2008,joven,0,0,0,0
5812,10205421,2008,joven,0,0,0,0
5812,10296796,2008,joven,0,0,0,0
5812,11605752,2008,joven,0,0,0,0
5812,13049767,2008,joven,0,0,0,0
