RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
12750,3,2020,536027,5.599999904632568,40,NO,NO
22189,3,2020,1273826,5.829999923706055,20,NO,SI
12630,3,2020,1951910,5.199999809265137,70,NO,NO
12750,3,2020,3718591,5.53000020980835,40,NO,NO
5,6,2020,6508574,5.599999904632568,10,SI,NO
5,6,2020,8144827,5.300000190734863,30,NO,SI
12750,3,2020,8285467,5.400000095367432,50,NO,NO
5,6,2020,8638111,4.800000190734863,80,NO,NO
5,6,2020,10249536,5.53000020980835,20,NO,SI
1,6,2020,12831468,5.079999923706055,70,NO,NO
5,6,2020,12838399,5,60,NO,NO
12630,3,2020,12856481,5.900000095367432,30,NO,SI
12750,3,2020,12980693,4.869999885559082,60,NO,NO
12750,3,2020,13860720,6,20,NO,SI
12750,3,2020,15589796,4.150000095367432,100,NO,NO
5,6,2020,16846683,5.070000171661377,50,NO,NO
12696,3,2020,19204697,4.699999809265137,100,NO,NO
13176,2,2020,19273592,5.199999809265137,50,NO,NO
12750,3,2020,19882872,4.5,90,NO,NO
5,6,2020,21197667,4.829999923706055,80,NO,NO
12750,3,2020,21201718,5.170000076293945,50,NO,NO
12750,3,2020,22230967,4.769999980926514,70,NO,NO
5,6,2019,289029,5,80,NO,NO
5,6,2019,1412978,5.429999828338623,30,NO,SI
5,6,2019,1904590,5.03000020980835,80,NO,NO
12630,3,2019,2570986,5.03000020980835,90,NO,NO
12750,3,2019,3503303,5.150000095367432,70,NO,NO
28,6,2019,6424984,5.630000114440918,50,NO,NO
12630,3,2019,6527941,5.75,20,NO,SI
5,6,2019,6698273,4.849999904632568,90,NO,NO
15593,3,2019,8028220,5.650000095367432,20,NO,SI
12750,3,2019,8909222,5.25,60,NO,NO
12505,3,2019,8921943,5.5,50,NO,NO
12750,3,2019,10725390,5.099999904632568,70,NO,NO
1,6,2019,10897937,5.28000020980835,70,NO,NO
12750,3,2019,11029713,5.070000171661377,80,NO,NO
5,6,2019,11766314,5.349999904632568,40,NO,NO
5,6,2019,12710859,5.130000114440918,60,NO,NO
12696,3,2019,13178750,4.849999904632568,100,NO,NO
5,6,2019,13692377,5.170000076293945,60,NO,NO
5,6,2019,13905562,5.199999809265137,60,NO,NO
5,6,2019,14176711,5.5,30,NO,SI
4969,3,2019,15013730,5.269999980926514,40,NO,NO
12750,3,2019,15422068,5.150000095367432,70,NO,NO
12750,3,2019,15678976,5.170000076293945,60,NO,NO
