RBD	NOMBRE	COMUNA
10111	ESCUELA INTENDENTE SAAVEDRA	CERRO NAVIA
10112	ESCUELA SANTANDER DE ESPANA	CERRO NAVIA
10113	ESCUELA ELVIRA SANTA CRUZ OSSA	PUDAHUEL
10114	ESCUELA BASICA N°389 REPUBLICA DE ESTADOS UNIDOS	LO PRADO
10116	COLEGIO NEPTUNO	CERRO NAVIA
10117	ESCUELA MARIA LUISA BOMBAL	CERRO NAVIA
10118	ESCUELA BASICA ATATURK	LO PRADO
10119	ESCUELA POETA VICENTE HUIDOBRO	LO PRADO
10120	LICEO DE ADULTOS ALBERTO GALLEGUILLOS J.	PUDAHUEL
10121	ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN	CERRO NAVIA
10122	ESCUELA PROF. MANUEL GUERRERO CEBALLOS	CERRO NAVIA
10123	ESCUELA BASICA MELVIN JONES	PUDAHUEL
10124	ESCUELA SAN DANIEL	PUDAHUEL
10125	ESCUELA SARGENTO CANDELARIA	CERRO NAVIA
10126	COMPLEJO EDUCACIONAL CERRO NAVIA	CERRO NAVIA
10127	ESC.DE EDUCACION DIFERENCIAL QUILLAHUE	LO PRADO
10128	ESCUELA CENTRO EDUC.INTEGRAL DE ADULTOS	LO PRADO
10130	LICEO CIUDAD DE BRASILIA	PUDAHUEL
10133	ESCUELA BASICA G-N°320 LIPANGUE	LAMPA
10134	ESC.COMODORO ARTURO MERINO BENITEZ	PUDAHUEL
10135	ESCUELA LO BOZA	PUDAHUEL
10139	ESCUELA PARTICULAR HELEN RACHEL`S SCHOOL	PUDAHUEL
10140	ESCUELA PARTICULAR FRINGS COLLEGE	LO PRADO
10142	ESCUELA BASICA PARTICULAR N°811 DRA.VICTORIA GARCIA	LO PRADO
10143	ESCUELA PARTICULAR ESPANA	CERRO NAVIA
10147	ESCUELA PARTICULAR BABILONIA	LO PRADO
10148	ESCUELA EDUC ESPECIAL DR RICARDO OLEA G	LO PRADO
10149	ESCUELA PARTICULAR RAPA NUI	LO PRADO
10150	ESCUELA PARTICULAR JOSE MIGUEL CARRERA	PUDAHUEL
10151	COLEGIO CRISTIAN AND CAREN SCHOOL	CERRO NAVIA
10152	ESCUELA PARTICULAR ANDANTINO	PUDAHUEL
10155	ESCUELA CHARLES SCHOOL-DIURNA	CERRO NAVIA
10156	ESCUELA JARDIN LO PRADO	LO PRADO
10157	COLEGIO MINISTRO DIEGO PORTALES	PUDAHUEL
10158	COLEGIO SAN DAMIAN DE MOLOKAI	CERRO NAVIA
10159	ESCUELA PARTICULAR ROBERT KENNEDY	CERRO NAVIA
10160	ESCUELA BAS. COLEGIO BAU	LO PRADO
10162	LICEO TENIENTE DAGOBERTO GODOY NO.3	LO PRADO
10164	COLEGIO SAN FRANCISCO JAVIER	CERRO NAVIA
10167	ESCUELA BASICA N°1058 SANTA BEATRIZ	PUDAHUEL
10168	ESCUELA PARTICULAR SAN VICENTE FERRER	CERRO NAVIA
10171	ESCUELA PARTICULAR VILLA LOURDES	LO PRADO
10172	ESC BAS PART CENTRO EDUCACIONAL SN PABLO	CERRO NAVIA
10173	ESCUELA PART. SUNS SCHOOL	PUDAHUEL
10176	ESCUELA PARTICULAR ESPECIAL RENACER	LO PRADO
10181	ESCUELA INDUSTRIAL PUDAHUEL	PUDAHUEL
10182	ESCUELA  BASICA  N° 912 ELLEN  COLLEGE	PUDAHUEL
10183	ESCUELA PARTICULAR CARLOS PEZOA VELIZ	CERRO NAVIA
10186	ESCUELA PARTICULAR LA FRONTERA	CERRO NAVIA
10187	COLEGIO BICENTENARIO MADRE ANA EUGENIA	PUDAHUEL
10190	ESCUELA PARTICULAR COLEGIO CHILENO	CERRO NAVIA
10191	ESCUELA PARTICULAR LA CIUDAD EDUCATIVA	PUDAHUEL
10193	COLEGIO POLIV. SAINT ORLAND N 3	CERRO NAVIA
10195	ESCUELA DE PARVULOS N°1168 PINOCHO	LO PRADO
10196	LICEO INDUSTRIAL BENJAMIN DAVILA LARRAIN	RENCA
10197	ESCUELA JUANA DE LESTONAC	RENCA
10199	LICEO POLIVALENTE A80 PRESIDENTE JOSE MANUEL BALMACEDA	INDEPENDENCIA
10200	ESCUELA BASICA ISABEL LE BRUN	RENCA
10201	LICEO THOMAS ALVA EDISON	RENCA
10202	ESCUELA DOMINGO SANTA MARIA GONZALEZ	RENCA
10203	LICEO MUNICIPAL FRANCISCO INFANTE ABBOT	RENCA
10204	ESCUELA CAPITAN JOSE LUIS ARANEDA	RENCA
10205	ESCUELA GENERAL MANUEL BULNES PRIETO	RENCA
10207	ESCUELA REBECA MATTE BELLO	RENCA
10210	ESCUELA GENERAL ALEJANDRO GOROSTIAGA O	RENCA
10211	ESCUELA BASICA CORBETA ESMERALDA	RENCA
10212	ESCUELA JUANA ATALA DE HIRMAS	RENCA
10216	ESC. BASICA MONSERRAT ROBERT DE GARCIA	RENCA
10217	COLEGIO PARTICULAR HELENICO	RENCA
10219	COLEGIO CORAZON DE JESUS DE RENCA	RENCA
10220	COLEGIO PRESIDENTE ALESSANDRI	INDEPENDENCIA
10221	COLEGIO PARTICULAR CHARLES DARWIN	RENCA
10223	LICEO SANTA TERESITA	INDEPENDENCIA
10224	COLEGIO ARTURO TORO AMOR	INDEPENDENCIA
10225	ESCUELA PARTIC. COLEGIO BALMACEDA-RENCA	RENCA
10226	ESCUELA PARTICULAR SAN GENARO	RENCA
10228	ESCUELA PARTICULAR PRIMITIVA ECHEVERRIA	RENCA
10229	ESCUELA PARTICULAR JOSE BERNARDO SUAREZ	RENCA
10232	COLEG. POLIV. SANTA MARIA DE LA PROVIDENCIA	RENCA
10233	ESCUELA PARTICULAR SAN FIDEL	RENCA
10234	ESCUELA ESPECIAL PARTICULAR ESPERANZA	RENCA
10235	ESCUELA BASICA  N° 878  LOS ACACIOS	RENCA
10237	ESCUELA BASICA SAN NICOLAS	INDEPENDENCIA
10239	ESCUELA ESTADO DE MICHIGAN	QUILICURA
10240	ESCUELA LUIS CRUZ MARTINEZ	QUILICURA
10241	ESCUELA BASICA EL MANIO	QUILICURA
10242	ESCUELA BASIC.SOLDADO HEROE MIGUEL PRADO	QUILICURA
10245	PARROQUIAL NUESTRA SEÑORA DEL CARMEN DE QUILICURA	QUILICURA
10246	COLEGIO POLIV. SANTA MARIA	QUILICURA
10247	ESCUELA BASICA PART PAULA JARAQUEMADA	QUILICURA
10248	LICEO INSTITUTO TECNOLOGICO Y COMERCIAL RECOLETA-INTECO	RECOLETA
10250	CENTRO EDUCACIONAL DE HUECHURABA	HUECHURABA
10251	LICEO POETA FEDERICO GARCIA LORCA	CONCHALÍ
10252	LICEO ARTURO PEREZ CANTO	RECOLETA
10253	LICEO POLIV. ABDON CIFUENTES	CONCHALÍ
10254	CENTRO EDUCACIONAL JOSE MIGUEL CARRERA	RECOLETA
10255	COMPLEJO EDUCACIONAL JUANITA FERNANDEZ SOLAR	RECOLETA
10257	ESCUELA SARGENTO 2. DANIEL REBOLLEDO	RECOLETA
10259	LICEO ALBERTO BLEST GANA	CONCHALÍ
10260	ESCUELA UNESCO	CONCHALÍ
10262	ESCUELA ESPANA	RECOLETA
10263	ESCUELA D-114	CONCHALÍ
10264	ESCUELA SOL NACIENTE	CONCHALÍ
10265	ESCUELA HORACIO JOHNSON GANA	CONCHALÍ
10266	ESCUELA DRA.ELOISA DIAZ INSUNZA	CONCHALÍ
10267	ESCUELA ESCRITORA MARCELA PAZ	RECOLETA
10268	ESCUELA PUERTO RICO	RECOLETA
10269	LICEO MUNC.ALMIRANTE GALVARINO RIVEROS	CONCHALÍ
10270	CENTRO EDUC.ESCRITORES DE CHILE	RECOLETA
10271	ESCUELA ARAUCARIAS DE CHILE	CONCHALÍ
10272	ESCUELA BASICA CARLOS PRATS G.	HUECHURABA
10273	ESCUELA VALLE DEL INCA	CONCHALÍ
10274	ESCUELA BASICA COPENHAGUE	HUECHURABA
10277	ESCUELA ADELAIDA LA FETRA	HUECHURABA
10278	ESCUELA PEDRO AGUIRRE CERDA	CONCHALÍ
10279	ESCUELA ALLIPEN	CONCHALÍ
10280	ESCUELA BÁSICA POETA EUSEBIO LILLO	CONCHALÍ
10281	ESCUELA ATENEA	CONCHALÍ
10282	ESCUELA LUIS GALDAMES	INDEPENDENCIA
10283	ESCUELA AVIADOR DAGOBERTO GODOY F.	CONCHALÍ
10285	ESCUELA SANTA VICTORIA DE HUECHURABA	HUECHURABA
10288	ESCUELA BASICA LIKAN-ANTAI	CONCHALÍ
10290	ESCUELA LAS CANTERAS	HUECHURABA
10291	ESCUELA VICTOR CUCCUINI	RECOLETA
10293	ESCUELA ESP. HUMBERTO ARANDA IRRIBARREN	CONCHALÍ
10300	ESCUELA MARTA COLVIN	RECOLETA
10301	ESCUELA CAMILO HENRIQUEZ	CONCHALÍ
10302	ESCUELA ANNE ELEONOR ROOSEVELT	RECOLETA
10305	ESCUELA SANTIAGO DE GUAYAQUIL	HUECHURABA
10306	ESCUELA MUN.HERMANA MARIA GORETTI	RECOLETA
10307	ESCUELA RAFAEL VALDIVIESO	RECOLETA
10309	ESCUELA EDUC.DIF. STA. TERESA DE AVILA	RECOLETA
10312	LICEO PDTE.ARTURO ALESSANDRI-DIURNO	RECOLETA
10313	COLEGIO POLIV. ALEJANDRO FLORES	RECOLETA
10314	ESCUELA BASICA PARTICULAR ALBORADA	CONCHALÍ
10315	COLEGIO CRISTOBAL COLON	CONCHALÍ
10320	LICEO AVENIDA RECOLETA	RECOLETA
10321	LICEO LAS AMERICAS MODERNAS	INDEPENDENCIA
10322	LICEO PART.SUBVENCIONADO AVDA PRINCIPAL	CONCHALÍ
10324	ESCUELA JOSE ABELARDO NUÑEZ Nº 3	HUECHURABA
10326	ESCUELA PARTICULAR SAN JOSE	RECOLETA
10327	ESCUELA PARTICULAR SANTA TERESITA	INDEPENDENCIA
10328	ESCUELA PARTICULAR SANTA TERESITA	INDEPENDENCIA
10329	COLEGIO LIBERTADOR SAN MARTIN	CONCHALÍ
10331	COLEGIO ISABEL RIQUELME	RECOLETA
10332	ESCUELA PARTICULAR EL CARMEN	CONCHALÍ
10333	ESCUELA PARTICULAR N.SRA.DE GUADALUPE	RECOLETA
10334	ESCUELA PATROCINIO EL SEMBRADOR N 2	CONCHALÍ
10335	ESCUELA SAN JORGE	INDEPENDENCIA
10336	ESCUELA PARTICULAR SAN DIEGO	CONCHALÍ
10337	COLEGIO MATER DOLOROSA	HUECHURABA
10338	ESCUELA BASICA SANTO DOMINGO	RECOLETA
10340	ESCUELA PARTICULAR MANUEL RODRIGUEZ	RECOLETA
10341	ESCUELA BASICA PART. THE LITTLE SCHOOL	CONCHALÍ
10343	ESCUELA BASICA PARTICULAR NAVIDAD	RECOLETA
10344	COLEGIO HELLEN´S COLLEGE	CONCHALÍ
10345	ESCUELA PARTICULAR FRANCISCO BILBAO	RECOLETA
10346	ESCUELA BASICA INES DE SUAREZ	CONCHALÍ
10348	ESCUELA BASICA PART.MARY ANNE SCHOOL	CONCHALÍ
10350	COLEGIO ELENA BETTINI	INDEPENDENCIA
10351	ESCUELA PARTICULAR PARQUE ASUNCION	CONCHALÍ
10352	ESC.BASICA PART. NUEVA AURORA DE CHILE	RECOLETA
10353	ESCUELA ESPECIAL PARTICULAR LA PIRAMIDE	RECOLETA
10355	COLEGIO PARTICULAR JUAN PABLO	INDEPENDENCIA
10358	ESC. PART. BLUE BELL	CONCHALÍ
10359	ESCUELA PART. SANTA LUISA DE MARILLAC	HUECHURABA
10361	ESCUELA PARTICULAR ZOLTAN DIENES	CONCHALÍ
10362	ESCUELA PARTICULAR HNAS.AGAZZI	CONCHALÍ
10363	ESCUELA PARTICULAR JAIME EYZAGUIRRE	RECOLETA
10364	ESCUELA BÁSICA Nº 953 JOSE ARTIGA	RECOLETA
10365	ESCUELA BAS. ISABEL GONZALEZ CARES	CONCHALÍ
10371	ESCUELA PARTICULAR ANDRES ALBERTO	CONCHALÍ
10372	ESCUELA PARTICULAR ISLA DE PASCUA	INDEPENDENCIA
10375	ESCUELA PARTICULAR RUTH	CONCHALÍ
10376	ESCUELA BÀSICA Nº 1090 UNIÒN LATINOAMERICANA	CONCHALÍ
10377	LICEO POLIVALENTE SAINT ANDREWS	LAMPA
10384	ESCUELA BASICA PART.BRIGIDA WALKER	RECOLETA
10385	ESCUELA PART. ADVENTISTA SANTIAGO NORTE	CONCHALÍ
10386	ESCUELA ESPECIAL BELLA ESPERANZA	QUILICURA
10393	ESCUELA DE PARVULOS N° 748 SANTA CATALINA	CONCHALÍ
10396	LICEO POLIVALENTE RAFAEL DONOSO CARRASCO	RECOLETA
10397	LICEO INDUSTRIAL DE RECOLETA	RECOLETA
10398	LICEO REBECA OLIVARES BENITEZ	COLINA
10399	LICEO POLIVALENTE RIGOBERTO FONTT I.	COLINA
10400	ESCUELA BASICA MARCOS GOOYCOLEA CORTES	COLINA
10401	ESCUELA BASICA SANTA TERESA DEL CARMELO	COLINA
10402	ESCUELA ESPECIAL ERNESTO SOTO NEGRETE	COLINA
10403	ESCUELA PREMIO NOBEL PABLO NERUDA	COLINA
10404	ANDALIEN DE COLINA	COLINA
10405	LICEO ESMERALDA	COLINA
10407	ESCUELA BASICA ALGARROBAL	COLINA
10408	LICEO PELDEHUE	COLINA
10409	ESC.BASICA FRANCISCO PETRINOVIC KARLOVAC	COLINA
10410	ESCUELA BASICA SAN VICENTE DE LO ARCAYA	COLINA
10411	ESCUELA BASICA SANTA MARTA DE LIRAY	COLINA
10412	ESCUELA SAN FRANCISCO DE ASIS	COLINA
10413	ESCUELA PARTICULAR PAPELUCHO	COLINA
10415	ESCUELA PARTICULAR DESIREE	COLINA
10416	CENTRO DE TRATAMIENTO INTEGRAL LOS LAURELES	COLINA
10418	ESCUELA PARTICULAR JUAN CALVINO	COLINA
10419	COMPLEJO EDUCACIONAL DE LAMPA	LAMPA
10420	ESCUELA MANUEL SEGOVIA MONTENEGRO	LAMPA
10421	ESCUELA REPUBLICA DE POLONIA	LAMPA
10422	ESCUELA BASICA CACIQUE COLIN	LAMPA
10424	ESCUELA SANTA  BARBARA	LAMPA
10425	ESCUELA POLONIA GUTIERREZ C.	LAMPA
10426	ESCUELA BASICA F-N°371 SANTA ROSA DE LAMPA	LAMPA
10427	ESCUELA BASICA F - N°372 SANTA SARA	LAMPA
10428	ESCUELA BASICA G-N°373 EL LUCERO	LAMPA
10429	NORMA GONZÁLEZ GUERRA	LAMPA
10430	ESCUELA BASICA SAN SEBASTIAN DE BATUCO	LAMPA
10431	ESC. ESPECIAL PADRE LUIS GUANELLA	LAMPA
10432	LICEO POLIVALENTE MANUEL RODRIGUEZ	TILTIL
10433	LICEO HUERTOS FAMILIARES	TILTIL
10435	ESCUELA BASICA G-N°345 RUNGUE	TILTIL
10436	ESCUELA BASICA G-N° 346	TILTIL
10439	ESCUELA BASICA G-N°348	TILTIL
10441	ESCUELA BASICA G-N°349	TILTIL
10442	ESCUELA BASICA G-N°350	TILTIL
10443	LICEO MONTENEGRO	TILTIL
10444	ESCUELA BASICA G-N°352 PLAZUELA DE POLPAICO	TILTIL
10447	ESCUELA PARTICULAR LA MERCED	TILTIL
10449	ESCUELA CAMINO DE LUZ	PUENTE ALTO
10450	ESCUELA CONSOLIDADA	PUENTE ALTO
10452	LICEO PUENTE ALTO	PUENTE ALTO
10453	LICEO IND. MUNICIPALIZADO A N_ 116	PUENTE ALTO
10455	LICEO SAN GERONIMO	PUENTE ALTO
10456	LICEO COMERCIAL DE PUENTE ALTO	PUENTE ALTO
10457	COLEGIO MAIPO	PUENTE ALTO
10458	ESCUELA VILLA INDEPENDENCIA	PUENTE ALTO
10459	ESCUELA REPUBLICA DE GRECIA	PUENTE ALTO
10460	CENTRO EDUCACIONAL NUEVA CREACION	PUENTE ALTO
10461	ESCUELA LOS ANDES	PUENTE ALTO
10462	ESCUELA NONATO COO	PUENTE ALTO
10464	ESCUELA VILLA PEDRO AGUIRRE CERDA	PUENTE ALTO
10465	ESCUELA EJERCITO LIBERTADOR	PUENTE ALTO
10466	ESCUELA LOS PIMIENTOS	PUENTE ALTO
10467	ESCUELA MANUEL PLAZA	PUENTE ALTO
10469	ESCUELA ESPECIAL CREACION	PUENTE ALTO
10470	LICEO MUNIC.ING.MILITAR JUAN MACKENA O.	PUENTE ALTO
10472	ESCUELA CASAS VIEJAS	PUENTE ALTO
10473	ESCUELA OSCAR BONILLA	PUENTE ALTO
10474	ESCUELA LUIS MATTE LARRAIN	PUENTE ALTO
10475	ESCUELA GABRIELA	PUENTE ALTO
10476	ESCUELA LAS PALMAS	PUENTE ALTO
10478	ESCUELA SAN LUIS GONZAGA	PUENTE ALTO
10479	COLEGIO ESTELA SEGURA	PUENTE ALTO
10480	ESCUELA PIERRE VAYER	PUENTE ALTO
10481	LICEO INDUSTRIAL DOMINGO MATTE MESIAS	PUENTE ALTO
10482	COLEGIO ARTURO PRAT	PUENTE ALTO
10484	COLEGIO CORDILLERA	PUENTE ALTO
10486	ESCUELA JAVIERA CARRERA	PUENTE ALTO
10487	COLEGIO POLIVALENTE DOMINGO MATTE MESIAS	PUENTE ALTO
10488	ESCUELA GENOVEVA MOLL BRIONES	PUENTE ALTO
10489	LICEO NUESTRA SENORA DE LAS MERCEDES	PUENTE ALTO
10490	ESCUELA EMANUEL	PUENTE ALTO
10491	ESCUELA SANTA JOAQUINA DE VEDRUNA	PUENTE ALTO
10492	COLEGIO CRISTIANO BELEN	PUENTE ALTO
10493	COLEGIO SAN LUIS DE GONZAGA II	PUENTE ALTO
10495	ESC. PART. SAN ANDRES	PUENTE ALTO
10496	ESCUELA INDUSTRIAL LAS NIEVES	PUENTE ALTO
10497	ESC. PARTICULAR JOSEFINA GANA DE J.	PUENTE ALTO
10498	ESCUELA ESPECIAL EL TRANQUE	PUENTE ALTO
10500	COLEGIO POLIV. EL ALBORADA	PUENTE ALTO
10501	COLEGIO POLIV. PROFESOR ILDEFONSO CALDERON	PUENTE ALTO
10502	ESCUELA PARTICULAR MIGUEL CRUCHAGA T.	PUENTE ALTO
10503	COLEGIO EDUC.PART. COMP.DE MARIA P. ALTO	PUENTE ALTO
10505	LICEO POLIVALENTE MARIA REINA	PUENTE ALTO
10506	COLEGIO SENDA DEL SABER	PUENTE ALTO
10507	LICEO BICENTENARIO TÉCNICO LAS NIEVES	PUENTE ALTO
10509	ESCUELA BASICA LOS PINOS	PUENTE ALTO
10512	COLEGIO LOS AROMOS	PUENTE ALTO
10513	COLEGIO PARTICULAR NIDAL	PUENTE ALTO
10515	ESCUELA DOMINGO FAUSTINO SARMIENTO	PUENTE ALTO
10516	LICEO MUNIC. TEC. PROF. EL LLANO	PIRQUE
10517	ESCUELA SANTA RITA	PIRQUE
10519	ESCUELA BASICA G-N°646 LO ARCAYA	PIRQUE
10520	LICEO  EL PRINCIPAL	PIRQUE
10522	ESCUELA BASICA G-N°643 SAN JUAN DE PIRQUE	PIRQUE
10524	ESCUELA BASICA G-841 SANTOS RUBIO MORALES	PIRQUE
10526	LICEO POLIVALENTE SAN JOSE DE MAIPO	SAN JOSÉ DE MAIPO
10527	ESCUELA JULIETA BECERRA ALVAREZ	SAN JOSÉ DE MAIPO
10528	ESCUELA GABRIELA TOBAR PARDO	SAN JOSÉ DE MAIPO
10529	ESCUELA BASICA F-N°638 EL MELOCOTON	SAN JOSÉ DE MAIPO
10530	ESCUELA BASICA F-N°629 DE CONCENTRACION FRONTERIZA	SAN JOSÉ DE MAIPO
10532	ESCUELA BASICA G-N°631 FRONTERIZA	SAN JOSÉ DE MAIPO
10534	ESCUELA LA OBRA	SAN JOSÉ DE MAIPO
10536	ESCUELA BASICA G-N°635 INTEGRADORA EL MANZANO	SAN JOSÉ DE MAIPO
10537	ESCUELA BASICA G-N°636 SAN ALFONSO	SAN JOSÉ DE MAIPO
10538	ESCUELA BASICA G-N°637 LAS MELOSAS	SAN JOSÉ DE MAIPO
10540	COLEGIO RAFAEL EYZAGUIRRE	SAN JOSÉ DE MAIPO
10541	LICEO COMERCIAL DE SAN BERNARDO	SAN BERNARDO
10542	CENTRO EDUCACIONAL BALDOMERO LILLO	SAN BERNARDO
10543	LICEO POLIVALENTE A-127 FIDEL PINOCHET LE-BRUN	SAN BERNARDO
10544	LICEO ELVIRA BRADY MALDONADO-SN.BERNARDO	SAN BERNARDO
10545	LICEO IND. MIGUEL AYLWIN GAJARDO	SAN BERNARDO
10546	ESCUELA PILAR MOLINER DE NUEZ	SAN BERNARDO
10547	ESCUELA REPUBLICA DEL BRASIL	SAN BERNARDO
10548	ESCUELA ISABEL RIQUELME	SAN BERNARDO
10550	ESCUELA L.GRAL. BERNARDO O´HIGGINS	SAN BERNARDO
10551	LICEO POLIV. LUCILA GODOY ALCAYAGA	SAN BERNARDO
10553	ESCUELA MARCIAL MARTINEZ FERRARI	EL BOSQUE
10554	ESCUELA GENERAL RENE SCHNEIDER CHEREAU	SAN BERNARDO
10555	ESCUELA BASICA BASE EL BOSQUE	EL BOSQUE
10556	ESCUELA ALEMANIA	SAN BERNARDO
10557	ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ	EL BOSQUE
10558	ESCUELA REPUBLICA DE LOS EE.UU. DE AMERICA	SAN BERNARDO
10559	ESCUELA BERNARDO LEIGHTON	EL BOSQUE
10560	ESCUELA JAVIERA CARRERA VERDUGO	SAN BERNARDO
10561	ESCUELA CLAUDIO ARRAU LEON	EL BOSQUE
10563	ESCUELA MANUEL MAGALLANES MOURE	SAN BERNARDO
10564	ESCUELA REPUBLICA DEL PERU	SAN BERNARDO
10565	ESCUELA DIEGO PORTALES	SAN BERNARDO
10567	ESCUELA MAHUIDA	SAN BERNARDO
10568	ESCUELA ORLANDO LETELIER	EL BOSQUE
10569	LICEO NUEVO PORVENIR	SAN BERNARDO
10570	ESCUELA BASICA DR LUIS SEPULVEDA SALVATI	SAN BERNARDO
10571	ESCUELA ESCRITORA  MARCELA PAZ	SAN BERNARDO
10572	LICEO FRAY LUIS BELTRAN	EL BOSQUE
10573	CENTRO EDUCACIONAL MATIAS COUSINO	EL BOSQUE
10574	ESCUELA ESPANA	SAN BERNARDO
10576	ESCUELA IGNACIO CARRERA PINTO	SAN BERNARDO
10577	ESCUELA DE EDUCACION DIFERENCIAL	SAN BERNARDO
10578	ESCUELA STA. TERESA DE LOS MORROS	SAN BERNARDO
10579	ESCUELA JOSE NUEZ MARTIN	SAN BERNARDO
10580	ESCUELA ABRAHAM LINCOLN	SAN BERNARDO
10581	ESCUELA BASICA ANTUPILLAN	SAN BERNARDO
10584	LICEO DE ADULTOS PUCARA DE CHENA	SAN BERNARDO
10585	ESCUELA LUIS ARENAS VASQUEZ	SAN BERNARDO
10586	ESCUELA ELEODORO YANEZ PONCE DE LEON	SAN BERNARDO
10588	LICEO CARDENAL ANTONIO SAMORE	SAN BERNARDO
10589	ESCUELA HARAS LOS CONDORES	SAN BERNARDO
10590	ESCUELA TERESA GARCIA HUIDOBRO	SAN BERNARDO
10592	LICEO CLARA SOLOVERA	SAN BERNARDO
10594	COLEGIO SAINT ARIELI	SAN BERNARDO
10595	ESCUELA BASICA PARTICULAR ROBERTO LORCA	SAN BERNARDO
10596	ESC. BAS. PART.N¦49 STA. TERESA DE LOS ANDES	SAN BERNARDO
10599	ESCUELA PARTICULAR CRISTO REY	SAN BERNARDO
10600	COLEGIO MONTESSORI	SAN BERNARDO
10601	ESCUELA PARTICULAR SAN BERNARDO	SAN BERNARDO
10604	COLEGIO VILLA SANTA MARIA	EL BOSQUE
10606	COLEGIO GETSEMANI	SAN BERNARDO
10607	COLEGIO DOMINGO EYZAGUIRRE	SAN BERNARDO
10608	COLEGIO SUPERIOR DEL MAIPO	SAN BERNARDO
10610	COLEGIO SAN JOSE	SAN BERNARDO
10611	COLEGIO AMERICAN ACADEMY	SAN BERNARDO
10614	LICEO COMERCIAL GABRIELA MISTRAL	SAN BERNARDO
10615	COLEGIO  INGLES ISAAC NEWTON	SAN BERNARDO
10618	INSTITUTO SAN PABLO MISIONERO	SAN BERNARDO
10619	ESCUELA PARTICULAR JOSE MIGUEL CARRERA	EL BOSQUE
10621	ESCUELA JOSÉ ABELARDO NÚÑEZ N°2	SAN BERNARDO
10622	ESCUELA PARTICULAR MARVIT SCHOOL	EL BOSQUE
10623	ESCUELA DIFERENCIAL JUAN SANDOVAL	EL BOSQUE
10625	ESCUELA PARTICULAR MARIA MEDIANERA	EL BOSQUE
10626	COLEGIO JUAN BAUTISTA DURAN	EL BOSQUE
10628	COLEGIO ARAGON	SAN BERNARDO
10629	ESCUELA PARTICULAR EL BOSQUE	EL BOSQUE
10631	COLEGIO QUILLAHUE SAN BERNARDO	SAN BERNARDO
10632	CENTRO EDUC. DENVER COLORADO SCHOOL	EL BOSQUE
10635	INSTITUTO SAGRADO CORAZON	SAN BERNARDO
10638	LICEO 131	BUIN
10639	ESCUELA RAYEN MAPU	BUIN
10640	COLEGIO DE MAIPO	BUIN
10641	LICEO ALTO JAHUEL	BUIN
10642	LICEO POLIVALENTE LOS GUINDOS	BUIN
10643	ESCUELA VILLASECA	BUIN
10645	LICEO FRANCISCO JAVIER KRUGGER ALVARADO	BUIN
10646	ESCUELA VALDIVIA DE PAINE	BUIN
10648	ESCUELA LO SALINAS	BUIN
10649	ESCUELA HUMBERTO MORENO RAMIREZ	BUIN
10651	ESCUELA LOS ROSALES DEL BAJO	BUIN
10652	ESCUELA VILUCO	BUIN
10654	ESCUELA ANDRES PUIG FERRER	BUIN
10655	ESCUELA ESPECIAL DEFIC MENTAL CAMPOSANO	BUIN
10656	ESCUELA BASICA G-N°813 LOS AROMOS DE EL RECURSO	BUIN
10658	LICEO POLIVALENTE MODERNO CARDENAL CARO	BUIN
10659	ESC. ESP. TALLERES PRE-VOCACIONALES DIFERENCI	BUIN
10660	ESCUELA HOGAR REHABILITACION DON ORIONE	BUIN
10661	CENTRO DE EDUC.ESPECIAL HNO.BERNARDO	BUIN
10662	COLEGIO SAINT MARY COLLEGE	BUIN
10663	CENTRO EDUC. ENRIQUE BERNSTEIN CARABANTE	PAINE
10665	ESCUELA ALEMANIA	PAINE
10666	LICEO POLIVALENTE GREGORIO MORALES MIRANDA	PAINE
10667	LICEO  MARIA CARVAJAL FUENZALIDA	PAINE
10668	ESCUELA ELIAS SANCHEZ ORTUZAR	PAINE
10669	ESCUELA  BARBARA KAST RIST	PAINE
10670	ESCUELA RAUL SANCHEZ CERDA	PAINE
10671	ESCUELA CARMEN REVECO NUNEZ	PAINE
10672	COLEGIO  CHALLAY	PAINE
10673	ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA	PAINE
10674	ESCUELA SENDERO DE CULITRIN	PAINE
10675	ESCUELA  LAS COLONIAS	PAINE
10676	ESCUELA BASICA G-N°830 FRANCISCO LETELIER VALDES	PAINE
10677	ESCUELA BASICA G N°831 JAVIER EYZAGUIRRE ECHAURREN	PAINE
10679	ESCUELA  BASICA G-N°832 AGUILA SUR	PAINE
10680	ESCUELA HUGO PINO VILCHEZ	PAINE
10683	LICEO REINA PAOLA DE BELGICA	PAINE
10684	ESCUELA PARTICULAR ESPECIAL LAS CAMELIAS	PAINE
10685	COLEGIO PART. MARIA ANA MOGAS	PAINE
10686	LICEO MUNICIPAL POETISA GABRIELA MISTRAL	CALERA DE TANGO
10687	ESCUELA BASICA F-N°798 CALERA DE TANGO	CALERA DE TANGO
10688	LICEO LONQUEN	CALERA DE TANGO
10689	ESCUELA EL ROTO CHILENO	TALAGANTE
10692	ESCUELA PARTICULAR SAN IGNACIO	CALERA DE TANGO
10694	ESCUELA PRESIDENTE PRIETO	TALAGANTE
10696	LICEO TALAGANTE	TALAGANTE
10697	LICEO POLITECNICO DE TALAGANTE	TALAGANTE
10698	ESCUELA TALACANTA	TALAGANTE
