RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
52,3,2020,214861,6.449999809265137,10,SI,NO
52,3,2020,303275,6.380000114440918,20,NO,SI
52,3,2020,2424903,6.050000190734863,40,NO,NO
52,3,2020,3047590,6.449999809265137,10,SI,NO
52,3,2020,4626284,6.079999923706055,40,NO,NO
52,3,2020,4751395,6.480000019073486,10,SI,NO
9486,3,2020,4936338,6.650000095367432,10,SI,NO
52,3,2020,6806708,6.480000019073486,10,SI,NO
52,3,2020,7713341,6.099999904632568,40,NO,NO
30001,3,2020,7725505,5.900000095367432,60,NO,NO
52,3,2020,9449002,6.199999809265137,30,NO,SI
52,3,2020,9727680,6.150000095367432,30,NO,SI
52,3,2020,11246857,5.730000019073486,60,NO,NO
52,3,2020,11415316,6.599999904632568,10,SI,NO
52,3,2020,11422507,6.050000190734863,40,NO,NO
52,3,2020,11915054,6.550000190734863,10,SI,NO
52,3,2020,13786378,6.829999923706055,10,SI,NO
45,3,2020,13930218,6,70,NO,NO
52,3,2020,14053774,6.78000020980835,10,SI,NO
12720,3,2020,14908107,5.599999904632568,40,NO,NO
52,3,2020,15072024,6.550000190734863,10,SI,NO
52,3,2020,15177995,5.900000095367432,50,NO,NO
52,3,2020,15222374,6.380000114440918,20,NO,SI
52,3,2020,16475698,6.179999828338623,30,NO,SI
52,3,2020,17876993,6,40,NO,NO
52,3,2020,18618354,5.75,60,NO,NO
52,3,2020,19699888,5.679999828338623,70,NO,NO
24638,2,2020,20048439,5.550000190734863,60,NO,NO
45,3,2020,21041036,6.849999904632568,10,SI,NO
52,3,2020,21649741,5.949999809265137,50,NO,NO
52,3,2020,21842935,6.880000114440918,10,SI,NO
52,3,2020,22109422,5.599999904632568,70,NO,NO
52,3,2020,22307527,6.949999809265137,10,SI,NO
52,3,2020,22769112,6.03000020980835,40,NO,NO
52,3,2020,23029907,5.150000095367432,100,NO,NO
52,3,2020,24559730,6.5,10,SI,NO
52,3,2020,1342873,5.679999828338623,70,NO,NO
52,3,2020,1443147,6.179999828338623,30,NO,SI
52,3,2020,2672932,6.300000190734863,20,NO,SI
52,3,2020,2711360,5.929999828338623,50,NO,NO
4,6,2020,2787046,6.429999828338623,40,NO,NO
1504,1,2020,2958539,6.25,10,SI,NO
10911,6,2020,3857137,4.929999828338623,100,NO,NO
52,3,2020,4140439,5.599999904632568,70,NO,NO
52,3,2020,4158983,5.900000095367432,50,NO,NO
